jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km,ferry_km,alpine_path_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km
23,1,2017,stage_1,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 1.gpx,https://www.komoot.com/tour/2969772796,46.8,1.44,92.9,,5.6,,127.0,13.3,,5.6,,0.377,,,,,,,146.49,153.0,159.0,636.0,550.0,1.0,0.0,0.0,0.0,0.0,0.9986,0.0,0.0,0.0,0.0,0.8,0.47,0.38,78.0,-0.14,32.0
24,1,2017,stage_2,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 2.gpx,https://www.komoot.com/tour/2969773374,42.7,1.02,67.0,16.8,6.57,,119.0,8.81,0.0,6.83,3.2,3.36,0.28,,,,,,137.41,759.0,810.0,879.0,637.0,2.0,2.0,0.0,0.0,0.0,0.7651,0.7651,0.0,0.0,0.0,-1.0,-0.77,-0.7,14.0,0.17,347.0
25,1,2017,stage_3,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 3.gpx,https://www.komoot.com/tour/2969773893,11.5,,0.0,,,,11.3,0.255,,,,,,,,,,,11.62,39.0,37.0,665.0,641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.4,0.06,39.0,0.02,39.0
26,1,2017,stage_4,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 4.gpx,https://www.komoot.com/tour/2969774309,104.0,28.9,31.8,,,,110.0,54.4,,,,,,,,,,,164.63,273.0,274.0,662.0,577.0,1.0,0.0,0.0,0.0,0.0,0.3562,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.08,58.0,0.04,88.0
26,1,2017,result,trofeo-ses-salines-felanitx,1.1,2017 Trofeo Porreres-Felanitx-Ses Salines-Campos.gpx,https://www.komoot.com/tour/2969728975,123.0,4.1,18.6,15.0,,,151.0,9.69,0.295,,,,,,,,,,161.31,855.0,944.0,172.0,0.0,2.0,1.0,0.0,0.0,0.0,0.6986,0.6986,0.0,0.0,0.0,0.8,0.43,0.38,58.0,-0.19,295.0
27,1,2017,stage_5,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 5.gpx,https://www.komoot.com/tour/2969774907,90.8,0.203,70.1,1.43,0.229,,143.0,19.0,0.145,0.229,0.0,,,,,,,,162.5,2490.0,511.0,2624.0,624.0,3.0,2.0,1.0,1.0,1.0,0.9993,0.9993,0.9993,0.9993,0.9993,5.7,5.27,5.12,1014.0,0.54,378.0
27,1,2017,result,deia-trophy,1.1,2017 Trofeo Serra de Tramuntana.gpx,https://www.komoot.com/tour/2969729559,149.0,0.347,2.31,2.67,,,154.0,,,,,,,,,,,,154.08,3228.0,3078.0,880.0,9.0,7.0,5.0,4.0,1.0,1.0,0.9704,0.9704,0.8123,0.8123,0.8123,3.8,1.2,-0.92,252.0,0.87,1212.0
28,1,2017,stage_6,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 6.gpx,https://www.komoot.com/tour/2969775575,64.2,22.3,92.3,0.0,1.45,,136.0,38.4,,1.45,,4.63,,,,,,,180.16,490.0,499.0,829.0,569.0,1.0,1.0,0.0,0.0,0.0,0.3506,0.3506,0.0,0.0,0.0,0.2,0.03,0.2,92.0,-0.09,33.0
28,1,2017,result,trofeo-pollenca-port-d-andratx,1.1,2017 Trofeo Andratx-Mirador des Colomer.gpx,https://www.komoot.com/tour/2969725897,142.0,3.65,4.53,8.33,,,157.0,1.04,,0.222,0.0,0.0,,,,,,,158.6,3293.0,3186.0,888.0,0.0,10.0,5.0,2.0,1.0,1.0,0.9998,0.9998,0.7317,0.7317,0.7317,7.2,6.27,3.96,213.0,0.37,1098.0
29,1,2017,result,gp-d-ouverture,1.1,2017 Grand Prix Cycliste la Marseillaise.gpx,https://www.komoot.com/tour/2969494282,104.0,0.849,39.9,0.973,,,144.0,1.94,,,,,,,,,,,146.39,2641.0,2785.0,730.0,10.0,8.0,7.0,3.0,0.0,0.0,0.9409,0.9409,0.816,0.0,0.0,-0.7,-1.27,-1.68,0.0,0.23,839.0
29,1,2017,result,trofeo-palma,1.1,2017 Trofeo Palma.gpx,https://www.komoot.com/tour/2969728431,71.4,1.85,79.7,7.94,1.01,,152.0,8.59,0.0,1.14,0.461,,,0.297,,,,,162.08,1240.0,1247.0,378.0,0.0,3.0,2.0,1.0,0.0,0.0,0.7549,0.7549,0.7549,0.0,0.0,0.4,0.0,-0.08,44.0,0.11,404.0
29,1,2017,result,great-ocean-road-race,1.UWT,2017 Cadel Evans Great Ocean Road Race.gpx,https://www.komoot.com/tour/2969384389,75.5,0.683,8.41,28.8,,,90.0,23.4,,0.0,0.0,0.0,0.0,,,,,,113.32,762.0,762.0,174.0,1.0,2.0,1.0,0.0,0.0,0.0,0.7414,0.6898,0.0,0.0,0.0,-1.0,-0.87,-1.18,106.0,0.12,181.0
29,1,2017,stage_7,vuelta-ciclista-a-la-provincia-de-san-juan,2.1,2017 Vuelta Ciclista a la Provincia de San Juan Stage 7.gpx,https://www.komoot.com/tour/2969776203,20.7,0.0,,,120.0,,20.8,1.91,,117.0,6.23,,,,,,,,140.01,413.0,441.0,663.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.03,0.04,61.0,0.0,156.0
31,1,2017,stage_1,dubai-tour,2.HC,2017 Dubai Tour Stage 1.gpx,https://www.komoot.com/tour/2969409608,58.0,2.8,44.0,7.2,65.6,,96.7,4.6,5.1,71.4,6.23,3.04,,3.04,,,,,182.11,558.0,570.0,118.0,-11.0,1.0,0.0,0.0,0.0,0.0,0.1942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.16,179.0
1,2,2017,stage_2,dubai-tour,2.HC,2017 Dubai Tour Stage 2.gpx,https://www.komoot.com/tour/2969410454,29.4,3.99,56.7,,97.4,0.0,84.8,3.57,0.821,84.9,0.53,0.516,0.263,,,,,,185.93,399.0,398.0,83.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.2198,0.0,0.0,0.0,0.0,0.1,0.03,-0.02,46.0,0.13,162.0
1,2,2017,stage_1,vuelta-a-la-comunidad-valenciana,2.1,2017 Volta a la Comunitat Valenciana Stage 1.gpx,https://www.komoot.com/tour/2969752654,31.6,2.58,3.68,,,,37.2,0.721,0.163,0.0,0.282,,,,,,,,37.85,404.0,389.0,165.0,6.0,2.0,0.0,0.0,0.0,0.0,0.5837,0.0,0.0,0.0,0.0,0.3,0.03,-0.58,8.0,0.04,404.0
1,2,2017,stage_1,etoile-de-besseges,2.1,2017 Etoile de Besseges Stage 1.gpx,https://www.komoot.com/tour/2969415654,107.0,1.78,44.6,0.0,0.395,,150.0,3.64,0.0,1.02,0.626,,,,,,,,154.63,544.0,521.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-0.5,0.36,72.0,0.05,152.0
1,2,2017,prologue,herald-sun-tour,2.1,2017 Herald Sun Tour Prologue.gpx,https://www.komoot.com/tour/2969502430,0.36,0.26,,1.12,,,1.44,0.345,0.316,,0.361,,,,,,,,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2017,stage_3,dubai-tour,2.HC,2017 Dubai Tour Stage 3.gpx,https://www.komoot.com/tour/2969411143,31.1,6.13,22.3,8.39,132.0,0.0,51.6,14.4,0.0,109.0,2.03,0.404,,,,,,,199.94,1353.0,1350.0,508.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6371,0.6371,0.6371,0.0,0.0,-0.4,-0.87,-0.16,126.0,0.06,153.0
2,2,2017,stage_2,etoile-de-besseges,2.1,2017 Etoile de Besseges Stage 2.gpx,https://www.komoot.com/tour/2969416309,122.0,0.57,26.1,3.22,0.777,,141.0,9.78,,1.37,0.0,,,,,,,,152.72,693.0,731.0,197.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0328,0.0,0.0,0.0,0.0,0.4,0.2,0.0,33.0,-0.05,368.0
2,2,2017,stage_2,vuelta-a-la-comunidad-valenciana,2.1,2017 Volta a la Comunitat Valenciana Stage 2.gpx,https://www.komoot.com/tour/2969753443,167.0,1.89,10.8,0.418,0.707,0.0,178.0,1.64,0.487,1.16,0.543,,,,,,,,181.02,2924.0,3001.0,1012.0,3.0,8.0,6.0,1.0,1.0,1.0,0.96,0.96,0.3226,0.3226,0.3226,-0.6,-1.5,-2.62,23.0,0.84,1050.0
2,2,2017,stage_1,herald-sun-tour,2.1,2017 Herald Sun Tour Stage 1.gpx,https://www.komoot.com/tour/2969503201,129.0,0.284,40.5,1.5,,,129.0,41.7,,0.207,,0.0,,,,,,,170.89,2742.0,1350.0,1539.0,147.0,2.0,2.0,2.0,1.0,1.0,0.9997,0.9997,0.9997,0.9997,0.9997,5.0,6.0,5.72,364.0,0.15,194.0
3,2,2017,stage_3,etoile-de-besseges,2.1,2017 Etoile de Besseges Stage 3.gpx,https://www.komoot.com/tour/2969416862,120.0,2.7,22.9,,7.11,,144.0,1.47,,7.11,,,,,,,,,152.76,2052.0,2051.0,413.0,141.0,9.0,4.0,0.0,0.0,0.0,0.8473,0.8473,0.0,0.0,0.0,0.6,0.1,0.08,67.0,0.33,824.0
3,2,2017,stage_3,vuelta-a-la-comunidad-valenciana,2.1,2017 Volta a la Comunitat Valenciana Stage 3.gpx,https://www.komoot.com/tour/2969754140,99.0,3.77,56.1,0.413,2.34,,155.0,4.3,0.0,2.36,0.0,0.0,,,,,,,161.1,1017.0,1053.0,398.0,16.0,2.0,1.0,1.0,0.0,0.0,0.8928,0.528,0.528,0.0,0.0,-1.3,1.03,0.64,57.0,-0.21,110.0
3,2,2017,stage_2,herald-sun-tour,2.1,2017 Herald Sun Tour Stage 2.gpx,https://www.komoot.com/tour/2969503795,149.0,1.32,15.3,0.622,,,104.0,61.8,,,,,,,,,,,165.58,1754.0,1604.0,781.0,176.0,4.0,1.0,1.0,0.0,0.0,0.9242,0.9242,0.9242,0.0,0.0,-3.3,-2.37,-2.66,292.0,-0.42,290.0
4,2,2017,stage_3,herald-sun-tour,2.1,2017 Herald Sun Tour Stage 3.gpx,https://www.komoot.com/tour/2969504796,138.0,1.7,26.7,0.397,1.44,,141.0,25.1,,1.44,,,,,,,,,167.55,789.0,827.0,609.0,129.0,1.0,1.0,1.0,0.0,0.0,0.5614,0.5614,0.5614,0.0,0.0,-0.2,-0.23,-0.12,38.0,0.02,120.0
4,2,2017,stage_4,vuelta-a-la-comunidad-valenciana,2.1,2017 Volta a la Comunitat Valenciana Stage 4.gpx,https://www.komoot.com/tour/2969754765,169.0,,8.19,,,,173.0,2.2,,,2.2,,,4.58,,,,,179.79,4090.0,3483.0,1446.0,320.0,13.0,6.0,3.0,1.0,1.0,0.9996,0.9996,0.9996,0.5165,0.5165,10.7,12.77,9.32,487.0,0.9,1179.0
4,2,2017,stage_4,etoile-de-besseges,2.1,2017 Etoile de Besseges Stage 4.gpx,https://www.komoot.com/tour/2969417374,115.0,12.2,26.7,0.463,,,141.0,12.7,,,,,,,,,,,153.31,1223.0,1202.0,263.0,30.0,2.0,2.0,0.0,0.0,0.0,0.4793,0.4793,0.0,0.0,0.0,4.1,1.8,1.18,79.0,-0.05,425.0
4,2,2017,stage_5,dubai-tour,2.HC,2017 Dubai Tour Stage 5.gpx,https://www.komoot.com/tour/2969412359,33.4,3.52,60.0,2.22,21.4,,92.9,5.15,4.01,23.7,5.34,,,,,,,,125.21,297.0,299.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.03,-0.02,31.0,0.07,145.0
5,2,2017,result,gp-costa-degli-etruschi,1.1,2017 Gran Premio Costa degli Etruschi.gpx,https://www.komoot.com/tour/2969487843,183.0,0.669,0.382,6.48,,,184.0,6.48,,,,,,,,,,,190.39,1221.0,1209.0,207.0,-1.0,3.0,3.0,0.0,0.0,0.0,0.9258,0.9258,0.0,0.0,0.0,0.1,-0.4,-0.74,47.0,0.01,304.0
5,2,2017,stage_4,herald-sun-tour,2.1,2017 Herald Sun Tour Stage 4.gpx,https://www.komoot.com/tour/2969505492,92.3,,3.62,25.2,,,121.0,,,,,,,,,,,,120.86,1549.0,1536.0,569.0,268.0,4.0,4.0,0.0,0.0,0.0,0.977,0.977,0.0,0.0,0.0,-1.1,-0.7,0.94,201.0,-0.41,509.0
5,2,2017,stage_5,etoile-de-besseges,2.1,2017 Etoile de Besseges Stage 5.gpx,https://www.komoot.com/tour/2969417956,3.65,0.311,7.26,0.682,,,11.8,0.158,,,0.0,,,,,,,,11.86,176.0,15.0,290.0,126.0,1.0,1.0,0.0,0.0,0.0,0.9975,0.9975,0.0,0.0,0.0,7.1,5.33,3.12,164.0,1.36,176.0
5,2,2017,stage_5,vuelta-a-la-comunidad-valenciana,2.1,2017 Volta a la Comunitat Valenciana Stage 5.gpx,https://www.komoot.com/tour/2969755762,68.6,2.66,30.9,12.7,11.3,,108.0,6.52,3.24,11.2,4.06,1.14,,,,,,,129.85,731.0,757.0,492.0,4.0,1.0,1.0,1.0,0.0,0.0,0.4015,0.4015,0.4015,0.0,0.0,0.2,0.17,0.06,15.0,0.65,438.0
9,2,2017,result,nc-south-africa-itt,NC,2017 South African Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969582953,25.7,,13.8,,,,39.5,,,,,,,,,,,,39.69,292.0,293.0,142.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,-1.47,-0.38,292.0,-0.0,292.0
11,2,2017,result,vuelta-ciclista-a-la-region-de-murcia,1.1,2017 Vuelta Ciclista a la Region de Murcia.gpx,https://www.komoot.com/tour/2969777031,83.5,0.864,86.4,1.43,4.4,,163.0,8.81,0.466,4.4,0.282,0.282,,,,,,,176.41,1863.0,1844.0,1199.0,14.0,3.0,2.0,1.0,1.0,1.0,0.8241,0.7578,0.5536,0.5536,0.5536,0.0,-0.03,-0.14,5.0,0.16,174.0
12,2,2017,result,trofeo-laigueglia,1.HC,2017 Trofeo Laigueglia.gpx,https://www.komoot.com/tour/2969726704,112.0,6.24,64.3,7.75,2.41,,174.0,15.7,0.256,1.87,,,,,,,,,192.32,2754.0,2757.0,480.0,2.0,6.0,6.0,3.0,0.0,0.0,0.945,0.945,0.6148,0.0,0.0,-0.3,-2.17,-0.34,89.0,0.16,660.0
12,2,2017,result,clasica-de-almeria,1.1,2017 Clasica de Almeria.gpx,https://www.komoot.com/tour/2969392200,144.0,5.75,35.3,0.651,4.81,,174.0,13.4,,5.24,1.84,0.331,,,,,,,192.45,1539.0,1559.0,366.0,-2.0,3.0,2.0,1.0,0.0,0.0,0.8457,0.6555,0.6555,0.0,0.0,0.3,-0.07,0.0,13.0,0.23,379.0
12,2,2017,result,nc-south-africa,NC,2017 South African Road National Championships.gpx,https://www.komoot.com/tour/2969583617,120.0,,59.0,,,,179.0,,,,,,,,,,,,179.0,1357.0,1358.0,142.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,-1.37,-0.4,286.0,0.06,390.0
14,2,2017,stage_1,tour-of-oman,2.HC,2017 Tour of Oman Stage 1.gpx,https://www.komoot.com/tour/2969697418,34.0,0.147,139.0,,4.28,,168.0,4.49,,4.24,,0.0,,,,,,,176.69,597.0,591.0,488.0,4.0,1.0,1.0,1.0,0.0,0.0,0.4589,0.4589,0.4589,0.0,0.0,0.0,0.07,0.1,29.0,0.35,187.0
14,2,2017,result,african-cycling-championships-ttt,CC,2017 CAC African Road Championships - TTT.gpx,https://www.komoot.com/tour/2969381635,0.248,,19.0,,,,19.2,,,,,,,,,,,,19.74,31.0,35.0,87.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.07,-0.02,15.0,-0.02,31.0
15,2,2017,stage_2,tour-of-oman,2.HC,2017 Tour of Oman Stage 2.gpx,https://www.komoot.com/tour/2969698004,67.2,0.523,66.7,,13.4,,114.0,19.5,,13.6,,0.0,,,,,,,146.78,1386.0,1615.0,388.0,7.0,4.0,4.0,1.0,0.0,0.0,0.9711,0.9711,0.6227,0.0,0.0,-5.1,-6.4,-1.22,265.0,-0.1,275.0
15,2,2017,stage_1,volta-ao-algarve,2.HC,2017 Volta ao Algarve em Bicicleta Stage 1.gpx,https://www.komoot.com/tour/2969759518,40.3,0.157,136.0,,1.08,,163.0,13.3,0.0,1.1,,,,,,,,,177.59,2637.0,2679.0,361.0,0.0,6.0,3.0,1.0,0.0,0.0,0.6671,0.6111,0.6111,0.0,0.0,0.2,0.03,-0.34,79.0,-0.03,769.0
15,2,2017,stage_1,ruta-del-sol,2.HC,2017 Vuelta a Andalucia Ruta Ciclista Del Sol Stage 1.gpx,https://www.komoot.com/tour/2969778160,114.0,2.56,35.1,,2.14,,152.0,0.209,0.178,2.16,0.0,,,,,,,,153.7,2864.0,2198.0,1484.0,2.0,5.0,4.0,3.0,1.0,1.0,0.8542,0.8542,0.8542,0.8542,0.8542,-0.9,-1.4,-1.3,11.0,1.95,1126.0
16,2,2017,stage_3,tour-of-oman,2.HC,2017 Tour of Oman Stage 3.gpx,https://www.komoot.com/tour/2969698730,4.69,0.162,156.0,,0.856,0.0,161.0,0.0,,0.856,,,,,,,,,161.86,1348.0,1143.0,388.0,3.0,5.0,4.0,1.0,0.0,0.0,0.9994,0.9994,0.2213,0.0,0.0,2.0,5.53,4.24,262.0,0.23,495.0
16,2,2017,stage_2,ruta-del-sol,2.HC,2017 Vuelta a Andalucia Ruta Ciclista Del Sol Stage 2.gpx,https://www.komoot.com/tour/2969778992,147.0,8.29,9.86,0.162,9.04,,150.0,15.9,0.0,7.76,3.61,2.81,,0.367,,,,,178.01,3551.0,2871.0,1279.0,271.0,8.0,5.0,3.0,1.0,1.0,0.9997,0.9997,0.9997,0.9997,0.9997,1.8,7.43,8.12,473.0,0.39,1081.0
16,2,2017,stage_2,volta-ao-algarve,2.HC,2017 Volta ao Algarve em Bicicleta Stage 2.gpx,https://www.komoot.com/tour/2969760131,95.1,0.848,88.3,1.73,1.42,,183.0,3.27,0.116,1.71,0.234,,0.0,,,,,,187.43,4699.0,3854.0,886.0,0.0,6.0,3.0,2.0,1.0,1.0,0.9984,0.9984,0.9984,0.9984,0.9984,5.3,5.63,6.34,454.0,-0.08,624.0
16,2,2017,result,african-continental-championships-itt,CC,2017 CAC African Road Championships - ITT.gpx,https://www.komoot.com/tour/2969381009,,,28.9,,1.97,,28.9,,,1.56,,,,,,,,,31.1,57.0,59.0,89.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.02,30.0,-0.01,57.0
17,2,2017,stage_3,volta-ao-algarve,2.HC,2017 Volta ao Algarve em Bicicleta Stage 3.gpx,https://www.komoot.com/tour/2969760759,9.81,3.08,0.0,4.18,,0.0,16.5,,1.12,0.0,0.0,0.278,0.731,,,,,,18.08,222.0,223.0,60.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.03,-0.48,168.0,-0.01,222.0
17,2,2017,stage_3,ruta-del-sol,2.HC,2017 Vuelta a Andalucia Ruta Ciclista Del Sol Stage 3.gpx,https://www.komoot.com/tour/2969779521,9.28,2.33,0.158,,,,7.69,4.05,,,,,,,,,,,11.84,187.0,200.0,570.0,440.0,1.0,0.0,0.0,0.0,0.0,0.2929,0.0,0.0,0.0,0.0,-1.6,-0.57,-0.56,164.0,-0.11,187.0
17,2,2017,stage_4,tour-of-oman,2.HC,2017 Tour of Oman Stage 4.gpx,https://www.komoot.com/tour/2969699456,29.5,5.09,82.8,,2.78,,114.0,1.45,,4.28,,,,,,,,,119.78,2117.0,2118.0,388.0,7.0,7.0,5.0,2.0,0.0,0.0,0.8752,0.8752,0.7948,0.0,0.0,0.0,-0.17,-0.12,115.0,0.06,825.0
18,2,2017,stage_4,volta-ao-algarve,2.HC,2017 Volta ao Algarve em Bicicleta Stage 4.gpx,https://www.komoot.com/tour/2969761286,121.0,0.628,80.4,0.425,0.217,,190.0,12.5,0.176,0.217,0.0,0.0,,,,,,,203.1,2827.0,3117.0,336.0,2.0,6.0,2.0,0.0,0.0,0.0,0.8746,0.3674,0.0,0.0,0.0,0.3,0.17,-0.42,52.0,-0.2,508.0
18,2,2017,stage_4,ruta-del-sol,2.HC,2017 Vuelta a Andalucia Ruta Ciclista Del Sol Stage 4.gpx,https://www.komoot.com/tour/2969780180,163.0,1.88,11.2,0.979,1.61,,174.0,1.91,0.123,2.59,0.396,0.22,,,,,,,179.08,1659.0,1757.0,623.0,5.0,3.0,2.0,1.0,0.0,0.0,0.6695,0.5503,0.5503,0.0,0.0,0.0,-0.03,-0.06,20.0,0.46,514.0
18,2,2017,stage_5,tour-of-oman,2.HC,2017 Tour of Oman Stage 5.gpx,https://www.komoot.com/tour/2969699888,105.0,,50.1,0.619,3.03,,155.0,,,2.03,,,,,,,,,157.9,2141.0,1123.0,1418.0,400.0,4.0,3.0,1.0,1.0,1.0,0.9995,0.9995,0.9995,0.9995,0.9995,11.7,12.5,10.76,811.0,0.77,628.0
19,2,2017,stage_5,ruta-del-sol,2.HC,2017 Vuelta a Andalucia Ruta Ciclista Del Sol Stage 5.gpx,https://www.komoot.com/tour/2969780911,139.0,1.69,9.14,,,,147.0,3.19,0.0,,,,,,,,,,150.09,2351.0,2752.0,1067.0,20.0,6.0,4.0,1.0,0.0,0.0,0.8996,0.8996,0.2668,0.0,0.0,-1.2,0.13,0.12,95.0,0.79,1130.0
19,2,2017,stage_5,volta-ao-algarve,2.HC,2017 Volta ao Algarve em Bicicleta Stage 5.gpx,https://www.komoot.com/tour/2969761741,127.0,,50.7,1.19,1.47,,178.0,0.258,0.11,1.25,0.155,0.288,,,,,,,180.09,4183.0,3866.0,567.0,9.0,9.0,5.0,1.0,0.0,0.0,0.9976,0.9976,0.5771,0.0,0.0,1.8,7.13,3.72,319.0,-0.08,673.0
