date,year,course,type,etape,equipe,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,selected,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,cobblestones_km,unpaved_km,compacted_gravel_km,paved_km,asphalt_km,access_road_km,cycleway_km,loc_last_col_cat1,loc_last_col_cat2,loc_last_col_cat3,loc_last_col_cat4,loc_last_col_hc,off-grid_(unknown)_km,path_km,road_km,singletrack_km,state_road_km,street_km,unknown_km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2018-02-28,2018,trofej-umag,result,,Team Coop,1.2,FIN,45.0,0.0,,,,,,,1,40.0,40.0,0.0,0.0,0.0,,144.26,1221.0,1221.0,188.0,2.0,0.0,5.0,0.0,0.0,0.0,-0.3,-0.4,-0.6,19.0,0.14,482.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.8931,0.8931,0.0,0.201,0.0,2.52,0.0,142.0,0.0,0.0,1.0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,-,,2.0,⛰️  Moy. montagne,0
2018-03-03,2018,porec-trophy,result,,Team Coop,1.2,FIN,109.0,0.0,,,,,,,1,10.0,10.0,0.0,0.0,0.0,,149.61,1587.0,1490.0,177.0,5.0,0.0,7.0,0.0,0.0,0.0,4.9,2.3,1.48,147.0,0.06,514.0,0.0,0.0,0.0,0.684,149.0,0.0,0.417,0.0,0.0,0.9239,0.9239,0.0,0.0,0.0,91.6,0.0,57.1,0.417,0.0,1.0,1,144.26,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,,-,40.0,2.0,⛰️  Moy. montagne,0
2018-03-08,2018,istrian-spring-tour,prologue,,Team Coop,2.2,,,0.0,,,,,,,0,0.0,44.0,40.0,0.0,0.0,,2.01,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.05,5.0,0.05,5.0,0.0,0.0,0.0,0.835,1.0,0.0,0.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.163,0.0,2,293.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,⏱️  CLM,0
2018-03-09,2018,istrian-spring-tour,stage,1.0,Team Coop,2.2,,,0.0,,,,,,,0,3.0,44.0,40.0,0.0,0.0,1.0,155.09,1724.0,1438.0,414.0,0.0,2.0,2.0,1.0,0.0,0.0,7.2,5.3,5.02,253.0,0.62,642.0,0.454,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.438,0.9997,0.9997,0.0,0.0,0.0,80.0,0.0,74.2,1.1,0.0,0.0,2,293.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,-,,3.0,🏔️  Haute montagne,0
2018-03-10,2018,istrian-spring-tour,stage,2.0,Team Coop,2.2,,,0.0,,,,,,,0,1.0,44.0,40.0,0.0,0.0,2.0,158.81,2065.0,1740.0,450.0,9.0,3.0,0.0,3.0,0.0,0.0,0.0,4.23,5.42,352.0,0.3,540.0,0.0,0.0,0.0,0.21,158.0,0.0,0.0,0.0,0.9904,0.9904,0.9904,0.0,0.285,0.0,50.4,0.0,107.0,0.711,0.0,0.0,2,293.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,-,25.0,2.0,⛰️  Moy. montagne,0
2018-03-11,2018,istrian-spring-tour,stage,3.0,Team Coop,2.2,,,0.0,,,,,,,0,0.0,44.0,40.0,0.0,0.0,3.0,159.6,1377.0,1642.0,360.0,-2.0,4.0,3.0,0.0,0.0,0.0,-0.4,-0.4,-0.62,17.0,-0.33,514.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.9022,0.9022,0.0,0.0,0.0,20.8,0.0,139.0,0.0,0.0,0.0,2,293.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,-,17.0,2.0,⛰️  Moy. montagne,0
2018-03-19,2018,tour-de-normadie,stage,1.0,Team Coop,2.2,,,0.0,,,,,,,0,0.0,6.0,3.0,0.0,0.0,1.0,150.95,1011.0,928.0,207.0,38.0,6.0,1.0,0.0,0.0,0.0,1.0,-0.27,-0.06,62.0,0.21,502.0,0.0,0.0,0.0,13.9,137.0,0.0,0.0,0.0,0.0,0.1455,0.902,0.0,0.489,0.0,102.0,0.0,38.2,10.6,0.489,1.0,2,293.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,-,,1.0,🟢  Plat/Sprint,0
2018-03-20,2018,tour-de-normadie,stage,2.0,Team Coop,2.2,,,0.0,,,,,,,0,0.0,6.0,3.0,0.0,0.0,2.0,153.32,1246.0,1238.0,224.0,12.0,2.0,1.0,0.0,0.0,0.0,-1.4,-0.2,0.16,136.0,-0.01,366.0,0.0,0.0,0.0,0.0,153.0,0.0,2.98,0.0,0.0,0.6453,0.6453,0.0,0.305,0.0,110.0,0.0,39.4,0.463,0.305,1.0,2,293.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-03-21,2018,tour-de-normadie,stage,3.0,Team Coop,2.2,,,0.0,,,,,,,0,0.0,6.0,3.0,0.0,0.0,3.0,134.65,991.0,1119.0,177.0,3.0,4.0,1.0,0.0,0.0,0.0,-0.8,-3.33,-2.66,22.0,-0.02,353.0,0.0,0.0,0.0,5.17,129.0,0.0,2.14,0.0,0.0,0.3204,0.9338,0.0,1.07,0.0,70.9,0.0,60.6,0.0,1.07,1.0,2,293.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-03-22,2018,tour-de-normadie,stage,4.0,Team Coop,2.2,,,0.0,,,,,,,0,0.0,6.0,3.0,0.0,0.0,4.0,155.17,1155.0,1075.0,251.0,12.0,0.0,2.0,0.0,0.0,0.0,0.2,-0.23,-0.04,43.0,0.11,496.0,0.0,0.0,0.0,7.66,148.0,0.0,5.54,0.0,0.0,0.5692,0.5692,0.0,0.0,0.0,148.0,0.0,0.0,1.87,0.0,1.0,2,293.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-03-23,2018,tour-de-normadie,stage,5.0,Team Coop,2.2,,,0.0,,,,,,,0,0.0,6.0,3.0,0.0,0.0,5.0,174.65,2089.0,2072.0,344.0,49.0,2.0,3.0,0.0,0.0,0.0,0.2,-1.3,0.46,87.0,-0.26,653.0,0.0,0.0,0.0,14.6,160.0,0.0,0.0,0.0,0.0,0.4279,0.7237,0.0,0.0,0.0,153.0,0.0,16.5,5.18,0.319,1.0,2,293.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,-,12.75,2.0,⛰️  Moy. montagne,0
2018-03-24,2018,tour-de-normadie,stage,6.0,Team Coop,2.2,,,0.0,,,,,,,0,3.0,6.0,3.0,0.0,0.0,6.0,156.15,899.0,920.0,128.0,3.0,3.0,0.0,0.0,0.0,0.0,0.6,0.5,-0.18,67.0,0.03,368.0,0.0,0.0,0.0,0.235,156.0,0.0,0.414,0.0,0.0,0.0,0.8695,0.0,0.0,0.0,132.0,0.0,23.5,0.43,0.0,1.0,2,293.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-03-25,2018,tour-de-normadie,stage,7.0,Team Coop,2.2,,,0.0,,,,,,,0,0.0,6.0,3.0,0.0,0.0,7.0,151.19,1160.0,1197.0,242.0,0.0,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.02,11.0,-0.05,267.0,0.0,0.0,0.0,0.0,151.0,0.28,2.9,0.0,0.0,0.6743,0.6743,0.0,0.0,0.141,125.0,0.0,22.5,0.0,0.0,1.0,2,293.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,-,0.6,1.0,🟢  Plat/Sprint,0
2018-03-31,2018,volta-nxt-classic,result,,Team Coop,1.1,,,0.0,,,,,,,0,3.0,3.0,0.0,0.0,0.0,,197.25,2705.0,2707.0,285.0,48.0,5.0,2.0,0.0,0.0,0.0,0.7,0.2,0.06,44.0,0.42,833.0,3.09,0.0,0.0,16.6,178.0,0.0,50.1,0.0,0.0,0.8418,0.8418,0.0,0.0,0.467,129.0,0.0,0.0,5.74,12.6,1.0,1,149.61,125.0,0.786,0.0,0.775,0.0,0.775,0.0,0.0,101.0,,Sprint of small group,10.2,2.0,⛰️  Moy. montagne,0
2018-04-11,2018,tour-du-loir-et-cher,stage,1.0,Team Coop,2.2,FIN,139.0,0.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,1.0,182.52,892.0,869.0,138.0,64.0,0.0,0.0,0.0,0.0,0.0,1.4,0.2,0.12,61.0,0.09,331.0,0.0,0.441,0.0,17.2,165.0,0.0,0.683,0.0,0.0,0.0,0.0,0.0,0.262,0.441,162.0,0.0,13.0,6.14,0.262,1.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,-,0.6,1.0,🟢  Plat/Sprint,0
2018-04-12,2018,tour-du-loir-et-cher,stage,2.0,Team Coop,2.2,FIN,64.0,0.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,2.0,201.96,773.0,766.0,147.0,79.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.14,27.0,0.05,207.0,0.0,0.0,0.0,5.55,196.0,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.28,179.0,0.0,18.2,3.97,0.28,1.0,1,182.52,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,-,0.6,1.0,🟢  Plat/Sprint,0
2018-04-13,2018,tour-du-loir-et-cher,stage,3.0,Team Coop,2.2,FIN,84.0,0.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,3.0,177.32,1318.0,1400.0,237.0,77.0,3.0,0.0,0.0,0.0,0.0,-0.3,-1.63,0.0,58.0,-0.0,389.0,0.0,1.59,0.0,22.3,154.0,0.0,0.401,0.0,0.0,0.0,0.5275,0.0,0.0,1.59,166.0,0.0,2.96,6.27,0.0,1.0,2,384.48,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,-,0.6,1.0,🟢  Plat/Sprint,0
2018-04-14,2018,tour-du-loir-et-cher,stage,4.0,Team Coop,2.2,DNF,,0.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,4.0,145.69,957.0,957.0,140.0,56.0,1.0,0.0,0.0,0.0,0.0,-0.1,-2.27,-1.04,80.0,0.05,261.0,0.0,0.52,0.0,30.7,115.0,0.0,2.95,0.0,0.0,0.0,0.7844,0.0,0.0,0.52,118.0,0.0,11.3,13.0,0.0,1.0,3,561.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,-,0.6,1.0,🟢  Plat/Sprint,0
2018-04-25,2018,le-tour-de-bretagne,stage,1.0,Team Coop,2.2,FIN,63.0,0.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,1.0,162.25,1077.0,1087.0,107.0,29.0,0.0,0.0,0.0,0.0,0.0,0.1,0.37,0.32,103.0,0.01,362.0,0.0,0.0,0.0,31.8,130.0,0.0,0.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,6.14,1.12,0.0,0.0,4,707.49,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-04-26,2018,le-tour-de-bretagne,stage,2.0,Team Coop,2.2,FIN,49.0,0.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,2.0,181.35,1175.0,1214.0,145.0,4.0,1.0,0.0,0.0,0.0,0.0,-0.9,-0.37,-0.06,71.0,-0.04,275.0,0.299,0.907,0.0,7.4,172.0,0.0,2.65,0.0,0.0,0.0,0.5536,0.0,0.639,0.0,160.0,0.0,10.7,7.69,0.672,0.0,5,869.74,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,,-,0.0,1.0,🟢  Plat/Sprint,0
