date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2021-01-17,2021,vuelta-al-tachira,stage,1.0,Androni Giocattoli - Sidermec,1,2.2,FIN,13.0,0.0,4.0,20.0,,,,,7.0,56.0,35.0,0.0,0.0,1.0,132.06,2.46,4.2,0.0,0.0,0.0,1.6,4.06,1.02,0.0,126.0,0.0,126.0,0.0,0.0,744.0,1625.0,962.0,54.0,0.0,1.0,0.0,0.0,0.0,0.8209,0.8209,0.0,0.0,0.0,-1.4,-0.7,-0.5,71.0,-1.67,293.0,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,Sprint of large group,0.0,1.0,🟢  Plat/Sprint,0
2021-01-18,2021,vuelta-al-tachira,stage,2.0,Androni Giocattoli - Sidermec,1,2.2,FIN,5.0,0.0,4.0,20.0,,,,,0.0,56.0,35.0,0.0,0.0,2.0,114.59,78.5,35.9,0.0,0.0,0.0,67.8,36.3,10.4,0.0,0.0,0.0,0.0,0.0,0.0,2331.0,2330.0,1603.0,1379.0,0.0,10.0,0.0,0.0,0.0,0.9986,0.9986,0.0,0.0,0.0,2.8,3.93,3.68,239.0,-0.32,950.0,1,1,132.06,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,-,0.8,2.0,⛰️  Moy. montagne,0
2021-01-19,2021,vuelta-al-tachira,stage,3.0,Androni Giocattoli - Sidermec,1,2.2,FIN,19.0,0.0,4.0,20.0,,,,,0.0,56.0,35.0,0.0,0.0,3.0,130.14,26.9,4.94,0.0,0.0,0.0,0.303,4.84,26.7,0.0,99.4,0.0,99.0,0.0,0.0,2101.0,1493.0,1487.0,53.0,1.0,0.0,0.0,0.0,1.0,0.9995,0.9995,0.9995,0.9995,0.9995,10.0,7.6,7.1,627.0,-1.54,273.0,1,2,246.65,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,-,0.0,3.0,🏔️  Haute montagne,0
2021-01-20,2021,vuelta-al-tachira,stage,4.0,Androni Giocattoli - Sidermec,1,2.2,FIN,15.0,0.0,4.0,20.0,,,,,0.0,56.0,35.0,0.0,0.0,4.0,17.48,13.6,1.64,0.0,0.0,0.0,13.1,2.26,0.0,0.0,2.14,0.0,2.25,0.0,0.0,439.0,266.0,1056.0,780.0,0.0,1.0,0.0,0.0,0.0,0.8253,0.8253,0.0,0.0,0.0,-3.3,1.53,3.7,439.0,0.99,439.0,1,3,376.79,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,Time trial,1.4,1.0,🟢  Plat/Sprint,0
2021-01-21,2021,vuelta-al-tachira,stage,5.0,Androni Giocattoli - Sidermec,1,2.2,FIN,3.0,1.0,4.0,20.0,,,,,4.0,56.0,35.0,0.0,0.0,5.0,145.73,74.8,2.07,0.0,0.137,0.0,65.7,2.33,9.08,0.0,70.1,0.0,70.3,0.0,0.0,3301.0,2210.0,1454.0,175.0,3.0,1.0,1.0,0.0,1.0,0.9991,0.889,0.889,0.889,0.889,2.7,3.97,2.72,170.0,0.22,223.0,1,4,394.27,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,21.0,,? km solo,0.0,3.0,🏔️  Haute montagne,0
2021-01-22,2021,vuelta-al-tachira,stage,6.0,Androni Giocattoli - Sidermec,1,2.2,FIN,11.0,0.0,4.0,20.0,,,,,3.0,56.0,35.0,0.0,0.0,6.0,151.67,16.5,11.9,0.0,0.0,0.0,22.7,5.33,1.41,0.0,122.0,0.0,124.0,0.732,0.0,3094.0,1128.0,2319.0,188.0,1.0,0.0,0.0,0.0,1.0,0.9936,0.9936,0.9936,0.9936,0.9936,-1.9,6.2,7.26,690.0,-0.24,221.0,1,5,540.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,-,0.8,3.0,🏔️  Haute montagne,0
2021-01-23,2021,vuelta-al-tachira,stage,7.0,Androni Giocattoli - Sidermec,1,2.2,FIN,4.0,0.0,4.0,20.0,,,,,0.0,56.0,35.0,0.0,0.0,7.0,121.82,57.2,8.55,0.0,0.0,0.0,14.6,7.11,44.0,0.0,56.8,0.0,56.8,0.0,0.0,2569.0,2099.0,1509.0,308.0,0.0,3.0,0.0,0.0,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,8.8,7.07,5.14,303.0,-1.46,435.0,1,6,691.67,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,-,1.4,3.0,🏔️  Haute montagne,0
2021-01-24,2021,vuelta-al-tachira,stage,8.0,Androni Giocattoli - Sidermec,1,2.2,FIN,9.0,0.0,4.0,20.0,,,,,7.0,56.0,35.0,0.0,0.0,8.0,109.13,70.2,7.18,0.0,0.0,0.0,65.2,11.2,1.91,0.0,30.5,0.0,31.9,2.2,0.0,1558.0,1309.0,1053.0,710.0,3.0,0.0,4.0,0.0,0.0,0.988,0.988,0.988,0.0,0.0,-3.4,1.6,1.18,137.0,0.1,614.0,1,7,813.49,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,-,0.8,2.0,⛰️  Moy. montagne,0
2021-03-03,2021,trofeo-laigueglia,result,,Androni Giocattoli - Sidermec,1,1.Pro,FIN,45.0,0.0,,,,,,,8.0,8.0,0.0,0.0,0.0,,202.72,182.0,19.1,0.0,0.0,0.0,117.0,8.08,68.1,7.46,1.76,0.0,1.22,0.0,0.0,2967.0,2967.0,481.0,1.0,0.0,4.0,3.0,0.0,0.0,0.9537,0.9537,0.5837,0.0,0.0,-0.4,-1.97,-0.04,83.0,0.21,643.0,0,0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,,15 km solo,2.2,2.0,⛰️  Moy. montagne,0
2021-03-06,2021,strade-bianche,result,,Androni Giocattoli - Sidermec,0,1.UWT,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,183.98,120.0,2.9,0.841,12.1,47.2,111.0,45.5,25.9,0.0,0.619,0.0,0.667,0.379,0.0,3072.0,2997.0,460.0,139.0,7.0,3.0,1.0,0.0,0.0,0.9528,0.9528,0.3098,0.0,0.0,5.0,0.67,-0.5,140.0,-0.16,661.0,0,1,202.72,300.0,0.848,8.03,0.848,0.0,0.848,0.0,0.0,827.0,,0.5 km solo,3.8,2.0,⛰️  Moy. montagne,0
