date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2019-01-21,2019,la-tropicale-amissa-bongo,stage,1.0,Ethiopia,0,2.1,,,0.0,,,,,,,0.0,9.0,9.0,0.0,0.0,1.0,100.79,61.0,0.663,0.0,0.0,0.0,2.69,0.463,58.9,0.0,39.4,0.0,38.2,0.0,0.0,1289.0,1121.0,579.0,291.0,2.0,2.0,0.0,0.0,0.0,0.9956,0.9956,0.0,0.0,0.0,1.5,4.43,2.18,109.0,-0.13,527.0,1.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,,-,10.6,1.0,🟢  Plat/Sprint,0
2019-01-22,2019,la-tropicale-amissa-bongo,stage,2.0,Ethiopia,0,2.1,,,0.0,,,,,,,0.0,9.0,9.0,0.0,0.0,2.0,169.86,52.2,0.0,0.0,16.0,0.0,0.0,0.0,66.9,0.0,104.0,0.0,103.0,1.3,0.0,1607.0,1567.0,526.0,290.0,1.0,1.0,0.0,0.0,0.0,0.9551,0.2277,0.0,0.0,0.0,-0.2,-1.13,-2.58,550.0,0.41,641.0,1.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,,-,10.6,1.0,🟢  Plat/Sprint,0
2019-01-23,2019,la-tropicale-amissa-bongo,stage,3.0,Ethiopia,0,2.1,,,0.0,,,,,,,0.0,9.0,9.0,0.0,0.0,3.0,98.24,24.4,0.822,0.0,0.0,0.0,0.0,0.97,24.4,0.0,74.0,0.0,73.3,0.0,0.0,983.0,1024.0,671.0,291.0,2.0,1.0,0.0,0.0,0.0,0.9976,0.0867,0.0,0.0,0.0,0.6,2.87,1.86,336.0,-0.09,505.0,1.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,,Sprint of small group,10.6,1.0,🟢  Plat/Sprint,0
2019-01-24,2019,la-tropicale-amissa-bongo,stage,4.0,Ethiopia,0,2.1,,,0.0,,,,,,,0.0,9.0,9.0,0.0,0.0,4.0,121.66,45.1,0.341,0.0,0.391,0.0,1.33,0.215,43.9,0.0,77.4,0.394,77.8,0.344,0.0,918.0,829.0,689.0,495.0,0.0,1.0,0.0,0.0,0.0,0.4149,0.4149,0.0,0.0,0.0,0.4,0.37,0.32,271.0,0.02,366.0,1.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2019-01-25,2019,la-tropicale-amissa-bongo,stage,5.0,Ethiopia,0,2.1,,,0.0,,,,,,,0.0,9.0,9.0,0.0,0.0,5.0,125.86,115.0,1.47,0.0,0.235,0.0,97.2,5.17,15.4,0.0,9.45,0.0,10.2,0.0,0.0,863.0,815.0,670.0,560.0,1.0,0.0,0.0,0.0,0.0,0.7128,0.0,0.0,0.0,0.0,-0.6,-0.2,0.08,395.0,-0.02,483.0,1.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2019-01-26,2019,la-tropicale-amissa-bongo,stage,6.0,Ethiopia,0,2.1,,,0.0,,,,,,,0.0,9.0,9.0,0.0,0.0,6.0,106.14,53.2,0.657,0.0,0.49,0.0,16.7,0.848,37.0,0.0,52.4,0.394,53.0,0.0,0.0,908.0,847.0,716.0,571.0,1.0,0.0,0.0,0.0,0.0,0.6904,0.0,0.0,0.0,0.0,0.2,0.23,-0.06,398.0,0.04,403.0,1.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,,Sprint of large group,0.0,1.0,🟢  Plat/Sprint,0
2019-01-27,2019,la-tropicale-amissa-bongo,stage,7.0,Ethiopia,0,2.1,,,0.0,,,,,,,0.0,9.0,9.0,0.0,0.0,7.0,131.5,124.0,4.36,0.0,0.148,0.0,54.3,0.245,73.6,0.0,2.57,0.434,2.81,0.0,0.0,810.0,824.0,46.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,-0.67,0.02,100.0,-0.02,203.0,1.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2019-03-19,2019,african-championships,result,,Ethiopia,1,CC,FIN,21.0,5.0,,,,,,,61.0,61.0,0.0,0.0,0.0,,105.45,105.0,0.0,0.0,0.0,0.0,65.2,0.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,179.0,180.0,1799.0,1794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.07,-0.02,34.0,-0.0,85.0,1.0,0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,28.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2019-06-27,2019,nc-ethiopia-itt,result,,,1,NC,FIN,7.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0,0.0,,,,,,,,,3.0,,Time trial,,,,0
2019-06-29,2019,nc-ethiopia,result,,,1,NC,FIN,1.0,50.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.0,,,,,,,,,3.0,,-,,,,0
