date,year,course,type,etape,equipe,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,selected,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,cobblestones_km,unpaved_km,compacted_gravel_km,paved_km,asphalt_km,access_road_km,cycleway_km,loc_last_col_cat1,loc_last_col_cat2,loc_last_col_cat3,loc_last_col_cat4,loc_last_col_hc,off-grid_(unknown)_km,path_km,road_km,singletrack_km,state_road_km,street_km,unknown_km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2018-01-24,2018,tour-of-sharjah,stage,1.0,Vérandas Willems-Crelan,2.1,,,0.0,,,,,,,0,0.0,19.0,16.0,0.0,0.0,1.0,10.19,56.0,55.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.03,0.0,55.0,0.01,56.0,0.0,0.0,0.0,0.226,9.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,9.95,0.0,0.0,0.0,0.0,0.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,,Time trial,,1.0,🟢  Plat/Sprint,0
2018-01-25,2018,tour-of-sharjah,stage,2.0,Vérandas Willems-Crelan,2.1,,,0.0,,,,,,,0,0.0,19.0,16.0,0.0,0.0,2.0,151.44,599.0,532.0,188.0,28.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,-0.04,48.0,-0.03,200.0,0.0,2.13,0.0,8.05,39.8,0.0,0.0,0.0,0.0,0.5996,0.5996,0.0,102.0,2.36,20.3,0.0,25.4,3.14,103.0,0.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,,Sprint of large group,0.0,1.0,🟢  Plat/Sprint,0
2018-01-26,2018,tour-of-sharjah,stage,3.0,Vérandas Willems-Crelan,2.1,,,0.0,,,,,,,0,0.0,19.0,16.0,0.0,0.0,3.0,116.57,1298.0,1045.0,544.0,0.0,1.0,1.0,1.0,0.0,0.0,0.1,-0.4,-1.54,198.0,-0.01,310.0,0.0,0.0,0.0,23.7,33.1,0.0,0.0,0.0,0.8788,0.8788,0.8788,0.0,56.2,1.14,27.9,0.0,25.3,8.42,61.3,0.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,,Sprint of small group,0.0,1.0,🟢  Plat/Sprint,0
2018-01-27,2018,tour-of-sharjah,stage,4.0,Vérandas Willems-Crelan,2.1,,,0.0,,,,,,,0,3.0,19.0,16.0,0.0,0.0,4.0,98.98,210.0,210.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,-0.04,19.0,0.0,107.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,84.8,0.0,12.2,0.0,1.83,0.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-01-28,2018,gp-d-ouverture,result,,Vérandas Willems-Crelan,1.1,,,0.0,,,,,,,0,0.0,0.0,0.0,0.0,0.0,,146.39,2645.0,2789.0,730.0,10.0,1.0,4.0,3.0,0.0,0.0,-0.7,-1.27,-1.68,0.0,0.23,842.0,0.0,0.0,0.0,1.94,144.0,0.0,0.973,0.0,0.816,0.9409,0.9409,0.0,0.0,0.0,104.0,0.0,39.9,0.849,0.0,0.0,0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,,Sprint of small group,,2.0,⛰️  Moy. montagne,0
2018-01-31,2018,etoile-de-besseges,stage,1.0,Vérandas Willems-Crelan,2.1,,,0.0,,,,,,,0,0.0,44.0,30.0,0.0,0.0,1.0,160.95,546.0,554.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-0.17,-0.22,60.0,-0.02,148.0,0.0,0.0,0.0,4.86,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.37,114.0,0.0,41.9,3.15,1.57,0.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,,Sprint of large group,0.75,1.0,🟢  Plat/Sprint,0
2018-02-01,2018,etoile-de-besseges,stage,2.0,Vérandas Willems-Crelan,2.1,,,0.0,,,,,,,0,0.0,44.0,30.0,0.0,0.0,2.0,151.08,913.0,892.0,199.0,2.0,2.0,0.0,0.0,0.0,0.0,-0.4,0.27,0.7,69.0,-0.04,365.0,0.0,0.0,0.0,19.1,130.0,0.0,3.37,0.0,0.0,0.0,0.2469,0.0,2.33,0.0,119.0,0.0,21.3,5.22,2.5,0.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,,Sprint of large group,0.6,1.0,🟢  Plat/Sprint,0
2018-02-02,2018,etoile-de-besseges,stage,3.0,Vérandas Willems-Crelan,2.1,,,0.0,,,,,,,0,0.0,44.0,30.0,0.0,0.0,3.0,152.35,2059.0,2056.0,413.0,141.0,5.0,4.0,0.0,0.0,0.0,0.4,0.0,0.02,69.0,0.4,857.0,0.0,0.0,0.0,1.47,144.0,0.0,0.0,0.0,0.0,0.8461,0.8461,0.0,7.28,0.0,120.0,0.0,22.9,2.7,7.28,0.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,,Sprint of large group,0.0,2.0,⛰️  Moy. montagne,0
2018-02-03,2018,etoile-de-besseges,stage,4.0,Vérandas Willems-Crelan,2.1,,,0.0,,,,,,,0,14.0,44.0,30.0,0.0,0.0,4.0,151.34,1254.0,1213.0,263.0,30.0,3.0,2.0,0.0,0.0,0.0,4.2,1.83,1.18,78.0,-0.03,438.0,0.0,0.0,0.0,13.0,138.0,0.0,0.463,0.0,0.0,0.4844,0.9013,0.0,0.889,0.28,112.0,0.0,25.8,12.2,0.931,0.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,,Sprint of large group,0.6,1.0,🟢  Plat/Sprint,0
2018-02-04,2018,etoile-de-besseges,stage,5.0,Vérandas Willems-Crelan,2.1,,,0.0,,,,,,,0,0.0,44.0,30.0,0.0,0.0,5.0,11.97,174.0,13.0,290.0,129.0,0.0,1.0,0.0,0.0,0.0,7.3,5.33,3.14,161.0,1.34,174.0,0.0,0.0,0.0,0.111,11.9,0.0,0.148,0.0,0.0,0.9979,0.9979,0.0,0.0,0.0,3.65,0.0,7.91,0.264,0.0,0.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,,-,3.4,1.0,🟢  Plat/Sprint,0
