date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-04-29,2017,carpathia-couriers-paths,gc,Topforex Lapierre,2.2U,14.0,0.0,1,,0.0,,,0.0
2017-06-08,2017,oberosterreichrundfahrt,gc,Topforex Lapierre,2.2,57.0,0.0,1,,0.0,,,0.0
2018-04-02,2018,circuito-belvedere,gc,Topforex Lapierre,1.2U,,,1,,0.0,,,0.0
2018-07-25,2018,dookola-mazowsza,gc,Topforex Lapierre,2.2,39.0,0.0,1,,0.0,,,3.0
2018-04-03,2018,gp-palio-del-recioto,gc,Topforex Lapierre,1.2U,,,1,,0.0,,,0.0
2018-09-16,2018,int-raiffeisen-gp-judendorf-strassengel,gc,Topforex Lapierre,1.2,,0,0,,0.0,,,0.0
2018-03-08,2018,istrian-spring-tour,gc,Topforex Lapierre,2.2,,,1,,0.0,,,0.0
2018-09-06,2018,okolo-jiznich-cech,gc,Topforex Lapierre,2.2,26.0,0.0,1,,0.0,,,0.0
2018-03-03,2018,porec-trophy,gc,Topforex Lapierre,1.2,,,1,,0.0,,,0.0
2018-04-28,2018,toscana-terra-di-ciclismo,gc,Czech Republic,2.2U,44.0,0.0,1,,0.0,,,0.0
2018-08-08,2018,uec-road-european-championships-itt,gc,Czech Republic,CC,,0,0,,0.0,,,0.0
2018-08-12,2018,uec-road-european-championships-me,gc,Czech Republic,CC,,0,0,,0.0,,,5.0
2018-09-30,2018,world-championship,gc,Czech Republic,WC,,0,0,,0.0,,,255.0
2018-09-26,2018,world-championship-itt,gc,Czech Republic,WC,,0,0,,0.0,,,20.0
2019-09-01,2019,1st-ljubljana-zagreb,gc,Topforex Lapierre,1.2,,,1,,0.0,,,0.0
2019-07-24,2019,dookola-mazowsza,gc,Topforex Lapierre,2.2,39.0,0.0,1,,0.0,,,0.0
