date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-05-05,2017,five-rings-of-moscow,gc,Moscow,2.2,,,1,,10.0,,,18.0
2017-05-05,2017,five-rings-of-moscow,gc,Russia,2.2,,0,0,,70.0,,,84.0
2017-05-24,2017,fleche-du-sud,gc,Russia,2.2,,0,0,,0.0,,,7.0
2017-07-12,2017,giro-ciclistico-della-valle-d-aosta-mont-blanc,gc,Russia,2.2U,,0,0,,4.0,,,4.0
2017-04-09,2017,giro-dell-appennino,gc,Russia,1.1,,0,0,,0.0,,,10.0
2017-06-07,2017,okolo-slovenska,gc,Russia,2.1,,0,0,,0.0,,,0.0
2017-03-26,2017,tour-de-taiwan,gc,Russia,2.1,90.0,0.0,1,,3.0,,,3.0
2017-08-03,2017,uec-road-european-championships-itt,gc,Russia,CC,,0,0,,0.0,,,0.0
2017-08-06,2017,uec-road-european-championships-me,gc,Russia,CC,,0,0,,0.0,,,10.0
2017-02-27,2017,vuelta-independencia-nacional,gc,Russia,2.2,93.0,0.0,1,,0.0,,,1.0
2017-12-18,2017,vuelta-internacional-a-costa-rica,gc,Russia,2.2,,,1,,0.0,,,0.0
2017-09-24,2017,world-championship,gc,Russia,WC,,0,0,,0.0,,,85.0
2017-09-20,2017,world-championship-itt,gc,Russia,WC,,0,0,,0.0,,,15.0
2018-04-02,2018,circuito-belvedere,gc,Russia,1.2U,,0,0,,0.0,,,5.0
2018-02-06,2018,colombia-21,gc,Russia,2.1,,,1,,0.0,,,0.0
2018-05-09,2018,fleche-du-sud,gc,Russia,2.2,,0,0,,0.0,,,3.0
2018-07-11,2018,giro-ciclistico-della-valle-d-aosta-mont-blanc,gc,Russia,2.2U,,0,0,,0.0,,,0.0
2018-09-30,2018,international-azerbaijan-tour,gc,Russia,2.1,,0,0,,138.0,,,177.0
2018-06-01,2018,szlakiem-walk-majora-hubala,gc,Russia,2.1,,0,0,,15.0,,,15.0
2018-04-28,2018,toscana-terra-di-ciclismo,gc,Russia,2.2U,,0,0,,25.0,,,30.0
2018-04-07,2018,tour-des-flandres-espoirs,gc,Russia,1.Ncup,,0,0,,0.0,,,0.0
2018-04-06,2018,tour-du-maroc,gc,Russia,2.2,,0,0,,0.0,,,0.0
2018-09-29,2018,tour-of-almaty,gc,Russia,2.1,,0,0,,0.0,,,0.0
2018-08-08,2018,uec-road-european-championships-itt,gc,Russia,CC,,0,0,,0.0,,,0.0
2018-08-12,2018,uec-road-european-championships-me,gc,Russia,CC,,0,0,,0.0,,,0.0
2018-12-16,2018,vuelta-internacional-a-costa-rica,gc,Russia,2.2,,0,0,,0.0,,,18.0
2018-09-30,2018,world-championship,gc,Russia,WC,,0,0,,0.0,,,38.0
2018-09-26,2018,world-championship-itt,gc,Russia,WC,,0,0,,0.0,,,0.0
2019-07-24,2019,dookola-mazowsza,gc,Marathon-Tula Cycling Team,2.2,,,1,,0.0,,,0.0
2019-06-23,2019,european-games,gc,Russia,JC,,0,0,,0.0,,,1.0
2019-06-25,2019,european-games-itt,gc,Russia,JC,,0,0,,0.0,,,15.0
2019-09-05,2019,giro-della-regione-friuli-venezia-giulia,gc,Russia,2.2,,0,0,,0.0,,,0.0
2019-07-21,2019,tokyo-2020-test-event,gc,Russia,1.2,,0,0,,0.0,,,0.0
2019-02-21,2019,tour-of-antalya,gc,Russia,2.2,,0,0,,0.0,,,0.0
2019-05-23,2019,tour-of-estonia,gc,Russia,2.1,,0,0,,3.0,,,3.0
2019-11-17,2019,tour-of-fuzhou,gc,Russia,2.1,,0,0,,35.0,,,69.0
2019-09-11,2019,turul-romaniei,gc,Russia,2.1,,0,0,,6.0,,,6.0
2019-08-08,2019,uec-road-european-championships-itt,gc,Russia,CC,,0,0,,0.0,,,0.0
2019-08-11,2019,uec-road-european-championships-me,gc,Russia,CC,,0,0,,0.0,,,0.0
2019-12-16,2019,vuelta-internacional-a-costa-rica,gc,Russia,2.2,41.0,0.0,1,,3.0,,,4.0
2019-09-29,2019,world-championship,gc,Russia,WC,,0,0,,0.0,,,0.0
2019-09-25,2019,world-championship-itt,gc,Russia,WC,,0,0,,0.0,,,0.0
