date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-09-13,2017,coppa-agostoni,gc,Italy,1.1,,0,0,,0.0,,,60.0
2017-09-14,2017,coppa-bernocchi,gc,Italy,1.1,,0,0,,0.0,,,50.0
2017-04-09,2017,giro-dell-appennino,gc,Italy,1.1,,0,0,,0.0,,,76.0
2017-02-05,2017,gp-costa-degli-etruschi,gc,Italy,1.1,,0,0,,0.0,,,0.0
2017-03-05,2017,gp-industria-artigianato,gc,Italy,1.HC,,0,0,,0.0,,,19.0
2017-09-16,2017,memorial-marco-pantani,gc,Italy,1.1,,0,0,,0.0,,,125.0
2017-07-02,2017,tour-of-austria,gc,Italy,2.1,,0,0,,43.0,,,74.0
2017-04-17,2017,tour-of-the-alps,gc,Italy,2.HC,,0,0,,50.0,,,50.0
2017-10-03,2017,tre-valli-varesine,gc,Italy,1.HC,,0,0,,0.0,,,0.0
2017-02-12,2017,trofeo-laigueglia,gc,Italy,1.HC,,0,0,,0.0,,,300.0
2017-07-16,2017,trofeo-matteotti,gc,Italy,1.1,,0,0,,0.0,,,6.0
2017-08-03,2017,uec-road-european-championships-itt,gc,Italy,CC,,0,0,,0.0,,,5.0
2017-08-06,2017,uec-road-european-championships-me,gc,Italy,CC,,0,0,,0.0,,,200.0
2017-01-23,2017,vuelta-ciclista-a-la-provincia-de-san-juan,gc,Italy,2.1,,,1,,0.0,,,15.0
2017-09-24,2017,world-championship,gc,Italy,WC,,0,0,,0.0,,,361.0
2017-09-20,2017,world-championship-itt,gc,Italy,WC,,0,0,,0.0,,,100.0
2018-06-21,2018,adriatica-ionica-race,gc,Italy,2.1,,0,0,,0.0,,,3.0
2018-04-02,2018,circuito-belvedere,gc,Team Colpack,1.2U,,0,0,,0.0,,,0.0
2018-02-06,2018,colombia-21,gc,Italy,2.1,131.0,0.0,1,,0.0,,,0.0
2018-09-15,2018,coppa-agostoni,gc,Italy,1.1,,0,0,,0.0,,,8.0
2018-09-16,2018,coppa-bernocchi,gc,Italy,1.1,,0,0,,0.0,,,5.0
2018-07-11,2018,giro-ciclistico-della-valle-d-aosta-mont-blanc,gc,Team Colpack,2.2U,,0,0,,1.0,,,1.0
2018-04-22,2018,giro-dell-appennino,gc,Italy,1.1,,0,0,,0.0,,,15.0
