date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-06-15,2021,adriatica-ionica-race,gc,Tirol KTM Cycling Team,2.1,66.0,0.0,1,,5.0,,,5.0
2021-09-03,2021,giro-della-regione-friuli-venezia-giulia,gc,Tirol KTM Cycling Team,2.2,,0,0,,0.0,,,0.0
2021-03-28,2021,gp-adria-mobil,gc,Tirol KTM Cycling Team,1.2,,0,0,,0.0,,,0.0
2021-07-25,2021,gp-kranj,gc,Tirol KTM Cycling Team,1.2,,0,0,,0.0,,,30.0
2021-06-28,2021,in-the-footsteps-of-the-romans,gc,Tirol KTM Cycling Team,2.2,40.0,0.0,1,,0.0,,,0.0
2021-09-18,2021,memorial-marco-pantani,gc,Tirol KTM Cycling Team,1.1,,,1,,0.0,,,0.0
2021-06-20,2021,nc-austria2,gc,Tirol KTM Cycling Team,NC,,,1,,0.0,,,0.0
2021-06-20,2021,nc-germany,gc,Tirol KTM Cycling Team,NC,,0,0,,0.0,,,4.0
2021-06-20,2021,nc-slovenia,gc,Tirol KTM Cycling Team,NC,,0,0,,0.0,,,30.0
2021-06-30,2021,tour-of-bulgaria,gc,Tirol KTM Cycling Team,2.2,55.0,0.0,1,,30.0,,,36.0
2021-04-19,2021,tour-of-the-alps,gc,Tirol KTM Cycling Team,2.Pro,,0,0,,5.0,,,5.0
2021-09-19,2021,trofeo-matteotti,gc,Tirol KTM Cycling Team,1.1,,,1,,0.0,,,70.0
2022-03-06,2022,elfsteden-race,gc,Austria,1.2,,,1,,0.0,,,0.0
2022-05-08,2022,fleche-ardennaise,gc,Tirol KTM Cycling Team,1.2,,0,0,,0.0,,,0.0
2022-09-02,2022,giro-della-regione-friuli-venezia-giulia,gc,Tirol KTM Cycling Team,2.2,20.0,0.0,1,,0.0,,,0.0
2022-05-22,2022,gp-gorenjska,gc,Tirol KTM Cycling Team,1.2,,0,0,,0.0,,,3.0
2022-03-24,2022,gp-goriska-vipava-valley,gc,Tirol KTM Cycling Team,1.2,,0,0,,0.0,,,30.0
2022-03-20,2022,gp-izola-butan-plin,gc,Tirol KTM Cycling Team,1.2,,0,0,,0.0,,,15.0
2022-07-24,2022,gp-kranj,gc,Tirol KTM Cycling Team,1.2,,,1,,0.0,,,0.0
2022-03-10,2022,istrian-spring-tour,gc,Tirol KTM Cycling Team,2.2,,0,0,,10.0,,,18.0
2022-06-26,2022,nc-austria2,gc,Tirol KTM Cycling Team,NC,,,1,,0.0,,,0.0
2022-06-26,2022,nc-czech-republic2,gc,Tirol KTM Cycling Team,NC,,0,0,,0.0,,,0.0
2022-06-26,2022,nc-germany,gc,Tirol KTM Cycling Team,NC,,0,0,,0.0,,,10.0
2022-06-09,2022,oberosterreichrundfahrt,gc,Austria,2.2,,0,0,,0.0,,,0.0
