date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-05-22,2022,albani-classic-fyen-rundt,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,10.0
2022-04-14,2022,banja-luka-belgrade-i,gc,HRE Mazowsze Serce Polski,2.1,,0,0,,148.0,,,181.0
2022-04-06,2022,circuit-des-ardennes,gc,HRE Mazowsze Serce Polski,2.2,,0,0,,0.0,,,0.0
2022-07-27,2022,dookola-mazowsza,gc,HRE Mazowsze Serce Polski,2.2,,0,0,,65.0,,,78.0
2022-03-13,2022,dorpenomloop-rucphen,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,0.0
2022-03-27,2022,gp-adria-mobil,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,13.0
2022-07-09,2022,gp-czech-republic,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,33.0
2022-03-24,2022,gp-goriska-vipava-valley,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,5.0
2022-05-21,2022,gp-herning,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,0.0
2022-03-20,2022,gp-izola-butan-plin,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,10.0
2022-04-29,2022,grand-prix-nasielsk-serock,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,40.0
2022-04-30,2022,grand-prix-wyszkow,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,30.0
2022-09-03,2022,in-the-footsteps-of-the-romans,gc,HRE Mazowsze Serce Polski,2.2,,0,0,,15.0,,,15.0
2022-07-26,2022,memorial-andrzeja-trochanowskiego,gc,HRE Mazowsze Serce Polski,1.2,,,1,,0.0,,,18.0
2022-08-13,2022,memorial-henryka-lasaka,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,45.0
2022-08-14,2022,memorial_jana_magiery_2022,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,0.0
2022-06-26,2022,nc-poland,gc,HRE Mazowsze Serce Polski,NC,,,1,,0.0,,,166.0
2022-06-22,2022,nc-poland-itt,gc,HRE Mazowsze Serce Polski,NC,,0,0,,0.0,,,8.0
2022-06-09,2022,oberosterreichrundfahrt,gc,HRE Mazowsze Serce Polski,2.2,,0,0,,3.0,,,3.0
2022-09-13,2022,okolo-slovenska,gc,HRE Mazowsze Serce Polski,2.1,,0,0,,5.0,,,5.0
2022-07-31,2022,puchar-ministra-obrony-narodowej,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,20.0
2022-07-02,2022,sibiu-cycling-tour,gc,HRE Mazowsze Serce Polski,2.1,,0,0,,0.0,,,5.0
2022-08-27,2022,tour-of-bulgaria,gc,HRE Mazowsze Serce Polski,2.2,,0,0,,5.0,,,13.0
2022-09-27,2022,tour-of-croatia,gc,HRE Mazowsze Serce Polski,2.1,,0,0,,0.0,,,0.0
2022-08-16,2022,tour-of-denmark,gc,HRE Mazowsze Serce Polski,2.Pro,,0,0,,8.0,,,8.0
2022-05-26,2022,tour-of-estonia,gc,HRE Mazowsze Serce Polski,2.1,,0,0,,5.0,,,19.0
2022-06-03,2022,tour-of-malopolska,gc,HRE Mazowsze Serce Polski,2.2,,0,0,,3.0,,,6.0
2022-06-15,2022,tour-of-slovenia,gc,HRE Mazowsze Serce Polski,2.Pro,,0,0,,8.0,,,8.0
2022-04-01,2022,tour-of-thailand,gc,HRE Mazowsze Serce Polski,2.1,,0,0,,128.0,,,159.0
2022-09-06,2022,turul-romaniei,gc,HRE Mazowsze Serce Polski,2.1,,0,0,,83.0,,,91.0
2022-07-23,2022,visegrad-4-bicycle-race-gp-hungary,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,5.0
2022-07-10,2022,visegrad-4-bicycle-race-gp-polski-via-odra,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,40.0
2022-07-24,2022,visegrad-4-bicycle-race-gp-slovakia,gc,HRE Mazowsze Serce Polski,1.2,,0,0,,0.0,,,20.0
