date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-02-23,2017,abu-dhabi-tour,gc,Astana Pro Team,2.UWT,,0,0,,95.0,,,95.0
2017-04-16,2017,amstel-gold-race,gc,Astana Pro Team,1.UWT,,,1,,0.0,,,15.0
2017-08-10,2017,arctic-race-of-norway,gc,Astana Pro Team,2.HC,55.0,0.0,1,,35.0,,,35.0
2017-08-27,2017,bretagne-classic,gc,Astana Pro Team,1.UWT,,0,0,,0.0,,,16.0
2017-09-02,2017,brussels-cycling-classic,gc,Astana Pro Team,1.HC,,,1,,0.0,,,60.0
2017-08-20,2017,cyclassics-hamburg,gc,Astana Pro Team,1.UWT,,,1,,0.0,,,36.0
2017-06-25,2017,danish-championships,gc,Astana Pro Team,NC,,,1,,0.0,,,0.0
2017-01-31,2017,dubai-tour,gc,Astana Pro Team,2.HC,,0,0,,76.0,,,81.0
2017-03-22,2017,dwars-door-vlaanderen,gc,Astana Pro Team,1.UWT,,,1,,0.0,,,255.0
2017-03-24,2017,e3-harelbeke,gc,Astana Pro Team,1.UWT,,,1,,0.0,,,168.0
2017-08-05,2017,european-championships-mu,gc,Astana Pro Team,CC,,0,0,,0.0,,,0.0
2017-03-26,2017,gent-wevelgem,gc,Astana Pro Team,1.UWT,,,1,,0.0,,,20.0
2017-07-12,2017,giro-ciclistico-della-valle-d-aosta-mont-blanc,gc,Denmark,2.2U,,0,0,,15.0,,,15.0
2017-05-05,2017,giro-d-italia,gc,Astana Pro Team,2.UWT,,0,0,,104.0,40.0,0.0,164.0
2017-05-05,2017,giro-d-italia,kom,Astana Pro Team,2.UWT,,0,0,,104.0,40.0,0.0,164.0
2017-05-05,2017,giro-d-italia,points,Astana Pro Team,2.UWT,,0,0,,104.0,40.0,0.0,164.0
2017-09-30,2017,giro-dell-emilia,gc,Astana Pro Team,1.HC,,0,0,,0.0,,,55.0
2017-10-01,2017,gp-bruno-beghelli,gc,Astana Pro Team,1.HC,,0,0,,0.0,,,205.0
2017-09-03,2017,gp-de-fourmies,gc,Astana Pro Team,1.HC,,,1,,0.0,,,15.0
2017-06-08,2017,gp-du-canton-d-argovie,gc,Astana Pro Team,1.HC,,,1,,0.0,,,55.0
2017-09-10,2017,gp-montreal,gc,Astana Pro Team,1.UWT,,0,0,,0.0,,,20.0
2017-09-08,2017,gp-quebec,gc,Astana Pro Team,1.UWT,,0,0,,0.0,,,20.0
2017-10-07,2017,il-lombardia,gc,Astana Pro Team,1.UWT,,0,0,,0.0,,,268.0
2017-04-03,2017,itzulia-basque-country,gc,Astana Pro Team,2.UWT,,0,0,,24.0,,,24.0
2017-02-26,2017,kuurne-brussel-kuurne,gc,Astana Pro Team,1.HC,,,1,,0.0,,,3.0
2017-04-19,2017,la-fleche-wallonne,gc,Astana Pro Team,1.UWT,,0,0,,0.0,,,18.0
2017-06-15,2017,la-route-d-occitanie,gc,Astana Pro Team,2.1,,0,0,,20.0,,,20.0
2017-04-23,2017,liege-bastogne-liege,gc,Astana Pro Team,1.UWT,,0,0,,0.0,,,43.0
2017-03-18,2017,milano-sanremo,gc,Astana Pro Team,1.UWT,,,1,,0.0,,,90.0
2017-10-05,2017,milano-torino,gc,Astana Pro Team,1.HC,,0,0,,0.0,,,138.0
2017-06-25,2017,nc-belgium,gc,Astana Pro Team,NC,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-italy,gc,Astana Pro Team,NC,,0,0,,0.0,,,70.0
2017-06-23,2017,nc-italy-itt,gc,Astana Pro Team,NC,,0,0,,0.0,,,15.0
2017-06-25,2017,nc-kazakhstan,gc,Astana Pro Team,NC,,0,0,,0.0,,,100.0
2017-06-21,2017,nc-kazakhstan-itt,gc,Astana Pro Team,NC,,0,0,,0.0,,,85.0
2017-06-25,2017,nc-norway,gc,Astana Pro Team,NC,,0,0,,0.0,,,10.0
2017-06-22,2017,nc-norway-itt,gc,Astana Pro Team,NC,,0,0,,0.0,,,1.0
2017-02-25,2017,omloop-het-nieuwsblad,gc,Astana Pro Team,1.UWT,,,1,,0.0,,,157.0
2017-03-05,2017,paris-nice,gc,Astana Pro Team,2.UWT,,,1,,80.0,,,80.0
2017-04-09,2017,paris-roubaix,gc,Astana Pro Team,1.UWT,,,1,,0.0,,,35.0
2017-08-07,2017,renewi-tour,gc,Astana Pro Team,2.UWT,,0,0,,148.0,,,148.0
2017-04-02,2017,ronde-van-vlaanderen,gc,Astana Pro Team,1.UWT,,,1,,0.0,,,90.0
2017-07-29,2017,san-sebastian,gc,Astana Pro Team,1.UWT,,0,0,,0.0,,,40.0
2017-04-05,2017,scheldeprijs,gc,Astana Pro Team,1.HC,,,1,,0.0,,,10.0
2017-03-04,2017,strade-bianche,gc,Astana Pro Team,1.UWT,,0,0,,0.0,,,84.0
2017-03-09,2017,tirreno-adriatico,gc,Astana Pro Team,2.UWT,,0,0,,65.0,,,65.0
2017-06-04,2017,tour-auvergne-rhone-alpes,gc,Astana Pro Team,2.UWT,,0,0,,735.0,,,855.0
2017-07-01,2017,tour-de-france,gc,Astana Pro Team,2.UWT,,0,0,,495.0,0.0,0.0,645.0
2017-07-01,2017,tour-de-france,kom,Astana Pro Team,2.UWT,,0,0,,495.0,0.0,0.0,645.0
2017-07-01,2017,tour-de-france,points,Astana Pro Team,2.UWT,,0,0,,495.0,0.0,0.0,645.0
2017-07-29,2017,tour-de-pologne,gc,Astana Pro Team,2.UWT,77.0,0.0,1,,24.0,,,24.0
2017-04-25,2017,tour-de-romandie,gc,Astana Pro Team,2.UWT,,0,0,,50.0,,,75.0
2017-06-10,2017,tour-de-suisse,gc,Astana Pro Team,2.UWT,,,1,,85.0,,,85.0
2017-01-17,2017,tour-down-under,gc,Astana Pro Team,2.UWT,116.0,0.0,1,,30.0,,,30.0
2017-09-30,2017,tour-of-almaty,gc,Astana Pro Team,2.1,,0,0,,245.0,,,278.0
2017-07-02,2017,tour-of-austria,gc,Astana Pro Team,2.1,,0,0,,70.0,,,106.0
2017-05-24,2017,tour-of-belgium,gc,Astana Pro Team,2.HC,,,1,,0.0,,,0.0
2017-05-14,2017,tour-of-california,gc,Astana Pro Team,2.UWT,54.0,2.0,1,,4.0,,,4.0
2017-04-18,2017,tour-of-croatia,gc,Astana Pro Team,2.1,,0,0,,28.0,,,36.0
2017-09-12,2017,tour-of-denmark,gc,Astana Pro Team,2.HC,67.0,0.0,1,,150.0,,,165.0
2017-09-12,2017,tour-of-denmark,gc,Denmark,2.HC,,0,0,,45.0,,,45.0
2017-10-19,2017,tour-of-guangxi,gc,Astana Pro Team,2.UWT,,0,0,,21.0,,,21.0
2017-02-14,2017,tour-of-oman,gc,Astana Pro Team,2.HC,,0,0,,143.0,,,158.0
2017-04-17,2017,tour-of-the-alps,gc,Astana Pro Team,2.HC,,0,0,,110.0,,,130.0
2017-10-10,2017,tour-of-turkey,gc,Astana Pro Team,2.UWT,,0,0,,325.0,,,346.0
