date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2023-04-23,2023,east-midlands-international-cicle-classic,gc,Embark Spirit BSS,1.2,,0.0,0,,0.0,,,0.0
2023-09-30,2023,gp-cerami,gc,Embark Spirit BSS,1.2,,,1,,0.0,,,0.0
2023-09-10,2023,gp-de-la-somme,gc,Embark Spirit BSS,1.2,,,1,,0.0,,,0.0
2023-07-23,2023,grand-prix-de-la-ville-de-perenchies,gc,Embark Spirit BSS,1.2,,0.0,0,,0.0,,,0.0
2023-06-04,2023,memorial-philippe-van-coningsloo,gc,Embark Spirit BSS,1.2,,0.0,0,,0.0,,,0.0
2023-07-02,2023,midden-brabant-poort-omloop,gc,Embark Spirit BSS,1.2,,0.0,0,,0.0,,,0.0
2023-06-21,2023,nc-great-britain-itt,gc,Embark Spirit BSS,NC,,0.0,0,,0.0,,,0.0
2023-06-25,2023,ncgreat-britain,gc,Embark Spirit BSS,NC,,0.0,0,,0.0,,,0.0
2023-07-19,2023,sd-worx-bw-classic,gc,Embark Spirit BSS,1.2,,0.0,0,,0.0,,,0.0
2024-09-28,2024,gp-cerami,gc,Spirit TBW Stuart Hall Cycling,1.2,,,1,,0.0,,,0.0
2024-07-21,2024,grand-prix-de-la-ville-de-perenchies,gc,Spirit TBW Stuart Hall Cycling,1.2,,0.0,0,,0.0,,,0.0
2024-06-30,2024,midden-brabant-poort-omloop,gc,Spirit TBW Stuart Hall Cycling,1.2,,,1,,0.0,,,0.0
2024-06-19,2024,nc-great-britain-itt,gc,Spirit TBW Stuart Hall Cycling,NC,,0.0,0,,0.0,,,0.0
2024-06-23,2024,ncgreat-britain,gc,Spirit TBW Stuart Hall Cycling,NC,,0.0,0,,0.0,,,0.0
2025-04-27,2025,east-midlands-international-cicle-classic,gc,BC South East,1.2,,,1,,0.0,,,0.0
2025-04-27,2025,east-midlands-international-cicle-classic,gc,Spirit Racing Team,1.2,,0.0,0,,0.0,,,0.0
2025-09-27,2025,gp-cerami,gc,Spirit Racing Team,1.2,,0.0,0,,0.0,,,0.0
2025-07-27,2025,grand-prix-de-la-ville-de-perenchies,gc,Spirit Racing Team,1.2,,,1,,0.0,,,0.0
2025-08-31,2025,grote-prijs-stad-halle,gc,Spirit Racing Team,1.2,,0.0,0,,0.0,,,0.0
2025-07-06,2025,midden-brabant-poort-omloop,gc,Spirit Racing Team,1.2,,0.0,0,,0.0,,,0.0
2025-06-29,2025,ncgreat-britain,gc,Spirit Racing Team,NC,,0.0,0,,0.0,,,0.0
