date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-06-23,2021,course-cycliste-de-solidarnosc,gc,Sprinter Nice Métropole,2.2,,0,0,,0.0,,,0.0
2021-08-29,2021,gp-de-la-somme,gc,Sprinter Nice Métropole,1.2,,0,0,,0.0,,,0.0
2021-03-11,2021,istrian-spring-tour,gc,Sprinter Nice Métropole,2.2,,,1,,0.0,,,0.0
2021-03-07,2021,porec-trophy,gc,Sprinter Nice Métropole,1.2,,0,0,,0.0,,,0.0
2021-09-09,2021,tour-de-serbie,gc,Sprinter Nice Métropole,2.2,,0,0,,65.0,,,74.0
2021-07-16,2021,tour-of-kosovo,gc,Sprinter Nice Métropole,2.2,,0,0,,55.0,,,69.0
2021-06-03,2021,tour-of-malopolska,gc,Sprinter Nice Métropole,2.2,65.0,0.0,1,,0.0,,,0.0
2021-04-01,2021,tour-of-mevlana,gc,Sprinter Nice Métropole,2.2,16.0,0.0,1,,0.0,,,0.0
2021-04-08,2021,tour-of-rhodes,gc,Sprinter Nice Métropole,2.2,,,1,,0.0,,,0.0
2021-03-03,2021,trofej-umag,gc,Sprinter Nice Métropole,1.2,,0,0,,0.0,,,0.0
2022-05-03,2022,4-jours-de-dunkerque,gc,Nice Métropole Côte d'Azur,2.Pro,,0,0,,0.0,,,0.0
2022-05-22,2022,boucles-de-l-aulne,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2022-05-26,2022,boucles-de-la-mayenne,gc,Nice Métropole Côte d'Azur,2.Pro,,0,0,,5.0,,,5.0
2022-03-20,2022,cholet-pays-de-loire,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,13.0
2022-06-14,2022,cic-mont-ventoux,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2022-04-15,2022,classic-grand-besancon-doubs,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2022-03-19,2022,classic-loire-atlantique,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,3.0
2022-02-26,2022,faun-ardeche-classic,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,5.0
2022-09-18,2022,gp-d-isbergues,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,0.0
2022-01-30,2022,gp-d-ouverture,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2022-03-17,2022,gp-de-denain,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,30.0
2022-09-11,2022,gp-de-fourmies,gc,Nice Métropole Côte d'Azur,1.Pro,,,1,,0.0,,,6.0
2022-05-14,2022,gp-de-plumelec,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,13.0
2022-02-27,2022,la-drome-classic,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,5.0
2022-08-06,2022,la-maurienne,gc,Nice Métropole Côte d'Azur,1.2,,,1,,0.0,,,0.0
2022-08-14,2022,la-poly-normande,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,0.0
2022-03-27,2022,la-roue-tourangelle,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,8.0
2022-06-16,2022,la-route-d-occitanie,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,0.0,,,0.0
2022-05-31,2022,mercan-tour-classic-alpes-maritimes,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2022-06-26,2022,nc-france,gc,Nice Métropole Côte d'Azur,NC,,0,0,,0.0,,,0.0
2022-06-23,2022,nc-france-itt,gc,Nice Métropole Côte d'Azur,NC,,0,0,,0.0,,,0.0
2022-10-06,2022,paris-bourges,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2022-04-12,2022,paris-camembert,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2022-09-25,2022,paris-chauny-classique,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2022-10-09,2022,paris-tours,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,0.0
2022-04-05,2022,region-pays-de-la-loire,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,5.0,,,5.0
2022-04-01,2022,route-adelie-de-vitre,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2022-02-10,2022,tour-cycliste-international-la-provence,gc,Nice Métropole Côte d'Azur,2.Pro,,0,0,,10.0,,,10.0
2022-08-09,2022,tour-de-l-ain,gc,Nice Métropole Côte d'Azur,2.1,85.0,0.0,1,,0.0,,,0.0
2022-10-02,2022,tour-de-vendee,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,3.0
2022-02-18,2022,tour-des-alpes-maritimes,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,3.0,,,3.0
2022-09-04,2022,tour-du-doubs,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,0.0
2022-05-21,2022,tour-du-finistere,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2022-04-16,2022,tour-du-jura-cycliste,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,3.0
2022-08-16,2022,tour-du-limousin,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,0.0,,,0.0
2022-08-23,2022,tour-du-poitou-charentes-et-de-la-vienne,gc,Nice Métropole Côte d'Azur,2.1,114.0,0.0,1,,0.0,,,0.0
2022-05-15,2022,tro-bro-leon,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,8.0
2023-09-03,2023,grand-prix-de-plouay,gc,Charvieu Chavagneux Isère Cyclisme,1.2,,,1,,0.0,,,0.0
