date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-05-20,2017,berner-rundfahrt-tour-de-berne,gc,Team Felbermayr - Simplon Wels,1.2,,0,0,,0.0,,,0.0
2017-04-07,2017,circuit-des-ardennes,gc,Team Felbermayr - Simplon Wels,2.2,,0,0,,15.0,,,24.0
2017-06-01,2017,course-de-la-paix-u23,gc,Team Felbermayr - Simplon Wels,2.Ncup,,0,0,,0.0,,,0.0
2017-08-11,2017,czech-tour,gc,Team Felbermayr - Simplon Wels,2.1,104.0,0.0,1,,0.0,,,3.0
2017-08-05,2017,european-championships-mu,gc,Team Felbermayr - Simplon Wels,CC,,0,0,,0.0,,,0.0
2017-05-24,2017,fleche-du-sud,gc,Team Felbermayr - Simplon Wels,2.2,,0,0,,45.0,,,55.0
2017-02-05,2017,gp-costa-degli-etruschi,gc,Team Felbermayr - Simplon Wels,1.1,,,1,,0.0,,,3.0
2017-02-26,2017,gp-izola-butan-plin,gc,Team Felbermayr - Simplon Wels,1.2,,0,0,,0.0,,,20.0
2017-07-30,2017,gp-kranj,gc,Team Felbermayr - Simplon Wels,1.2,,0,0,,0.0,,,25.0
2017-02-19,2017,gp-laguna,gc,Team Felbermayr - Simplon Wels,1.2,,,1,,0.0,,,25.0
2017-09-10,2017,int-raiffeisen-gp-judendorf-strassengel,gc,Team Felbermayr - Simplon Wels,1.2,,,1,,0.0,,,23.0
2017-03-09,2017,istrian-spring-tour,gc,Team Felbermayr - Simplon Wels,2.2,,0,0,,10.0,,,11.0
2017-03-31,2017,le-triptyque-des-monts-et-chateaux,gc,Team Felbermayr - Simplon Wels,2.2,,0,0,,0.0,,,7.0
2017-06-23,2017,nc-austria-itt,gc,Team Felbermayr - Simplon Wels,NC,,0,0,,0.0,,,15.0
2017-06-25,2017,nc-austria2,gc,Team Felbermayr - Simplon Wels,NC,,0,0,,0.0,,,55.0
2017-06-25,2017,nc-croatia,gc,Team Felbermayr - Simplon Wels,NC,,0,0,,0.0,,,0.0
2017-06-24,2017,nc-croatia-itt,gc,Team Felbermayr - Simplon Wels,NC,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-germany,gc,Team Felbermayr - Simplon Wels,NC,,,1,,0.0,,,3.0
2017-06-08,2017,oberosterreichrundfahrt,gc,Team Felbermayr - Simplon Wels,2.2,,0,0,,95.0,,,110.0
2017-08-31,2017,okolo-jiznich-cech,gc,Team Felbermayr - Simplon Wels,2.2,,,1,,0.0,,,0.0
2017-05-19,2017,paris-arras-tour,gc,Team Felbermayr - Simplon Wels,2.2,,,1,,0.0,,,0.0
