date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-05-22,2022,albani-classic-fyen-rundt,gc,Team ColoQuick,1.2,,0,0,,0.0,,,25.0
2022-10-16,2022,chrono-des-nations,gc,Team ColoQuick,1.1,,0,0,,0.0,,,30.0
2022-06-26,2022,danish-championships,gc,Team ColoQuick,NC,,,1,,0.0,,,0.0
2022-05-25,2022,fleche-du-sud,gc,Team ColoQuick,2.2,111.0,0.0,1,,3.0,,,11.0
2022-05-21,2022,gp-herning,gc,Team ColoQuick,1.2,,0,0,,0.0,,,5.0
2022-05-07,2022,hadeland-gp,gc,Team ColoQuick,1.2,,0,0,,0.0,,,0.0
2022-07-30,2022,kreiz-breizh-elites,gc,Team ColoQuick,2.2,,0,0,,30.0,,,31.0
2022-04-25,2022,le-tour-de-bretagne,gc,Team ColoQuick,2.2,,0,0,,0.0,,,0.0
2022-06-23,2022,nc-denmark-itt,gc,Team ColoQuick,NC,,0,0,,0.0,,,4.0
2022-06-26,2022,nc-norway,gc,Team ColoQuick,NC,,0,0,,0.0,,,0.0
2022-06-23,2022,nc-norway-itt,gc,Team ColoQuick,NC,,0,0,,0.0,,,0.0
2022-05-08,2022,ringerike-gp,gc,Team ColoQuick,1.2,,0,0,,0.0,,,15.0
2022-08-28,2022,ronde-van-de-achterhoek,gc,Team ColoQuick,1.2,,,1,,0.0,,,0.0
2022-04-13,2022,tour-du-loir-et-cher,gc,Team ColoQuick,2.2,,0,0,,30.0,,,37.0
2022-08-16,2022,tour-of-denmark,gc,Team ColoQuick,2.Pro,,0,0,,5.0,,,5.0
2022-05-24,2022,tour-of-norway,gc,Team ColoQuick,2.Pro,,0,0,,0.0,,,0.0
2023-05-14,2023,albani-classic-fyen-rundt,gc,Team Aalborg - Sparekassen Danmark,1.2,,0,0,,0.0,,,3.0
2023-08-18,2023,baltic-chain-tour,gc,Team Aalborg - Sparekassen Danmark,2.2,,0,0,,0.0,,,3.0
2023-07-26,2023,dookola-mazowsza,gc,Team Aalborg - Sparekassen Danmark,2.2,117.0,0.0,1,,0.0,,,0.0
2023-05-13,2023,gp-herning,gc,Team Aalborg - Sparekassen Danmark,1.2,,,1,,0.0,,,0.0
2023-05-06,2023,hadeland-gp,gc,Team Aalborg - Sparekassen Danmark,1.2,,,1,,0.0,,,0.0
2023-07-25,2023,memorial-andrzeja-trochanowskiego,gc,Team Aalborg - Sparekassen Danmark,1.2,,,1,,0.0,,,0.0
2023-07-30,2023,puchar-ministra-obrony-narodowej,gc,Team Aalborg - Sparekassen Danmark,1.2,,,1,,0.0,,,0.0
2023-05-07,2023,ringerike-gp,gc,Team Aalborg - Sparekassen Danmark,1.2,,,1,,0.0,,,0.0
2023-06-01,2023,tour-of-malopolska,gc,Team Aalborg - Sparekassen Danmark,2.2,142.0,0.0,1,,3.0,,,3.0
