date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2020-03-01,2020,rhodes-gp,gc,Toronto Hustle,1.2,,,1,,0.0,,,0.0
2020-03-06,2020,tour-of-rhodes,gc,Toronto Hustle,2.2,94.0,0.0,1,,0.0,,,0.0
2021-08-26,2021,joe-martin-stage-race-me,gc,Toronto Hustle,2.2,59.0,0.0,1,,3.0,,,3.0
2022-05-19,2022,joe-martin-stage-race-me,gc,Toronto Hustle,2.2,,0,0,,0.0,,,0.0
2022-09-04,2022,maryland-cycling-classic,gc,Toronto Hustle,1.Pro,,0,0,,0.0,,,5.0
2022-06-23,2022,nc-canada-itt,gc,Toronto Hustle,NC,,0,0,,0.0,,,30.0
2022-06-26,2022,nc-canada2,gc,Toronto Hustle,NC,,0,0,,0.0,,,15.0
2022-03-20,2022,rhodes-gp,gc,Toronto Hustle,1.2,,0,0,,0.0,,,3.0
2022-03-12,2022,south-aegean-tour,gc,Toronto Hustle,2.2,,,1,,40.0,,,50.0
2022-03-24,2022,tour-of-rhodes,gc,Toronto Hustle,2.2,,0,0,,0.0,,,0.0
2022-04-27,2022,tour-of-the-gila,gc,Toronto Hustle,2.2,,0,0,,30.0,,,34.0
