date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2019-06-23,2019,european-games,gc,Russia,JC,,0,0,,0.0,,,1.0
2019-06-25,2019,european-games-itt,gc,Russia,JC,,0,0,,0.0,,,15.0
2019-09-05,2019,giro-della-regione-friuli-venezia-giulia,gc,Russia,2.2,,0,0,,0.0,,,0.0
2019-07-21,2019,tokyo-2020-test-event,gc,Russia,1.2,,0,0,,0.0,,,0.0
2019-02-21,2019,tour-of-antalya,gc,Russia,2.2,47.0,0.0,1,,0.0,,,0.0
2019-05-23,2019,tour-of-estonia,gc,Russia,2.1,,0,0,,3.0,,,3.0
2019-11-17,2019,tour-of-fuzhou,gc,Russia,2.1,,0,0,,35.0,,,69.0
2019-09-11,2019,turul-romaniei,gc,Russia,2.1,,0,0,,6.0,,,6.0
2019-08-08,2019,uec-road-european-championships-itt,gc,Russia,CC,,0,0,,0.0,,,0.0
2019-08-11,2019,uec-road-european-championships-me,gc,Russia,CC,,0,0,,0.0,,,0.0
2019-12-16,2019,vuelta-internacional-a-costa-rica,gc,Russia,2.2,,0,0,,3.0,,,4.0
2019-09-29,2019,world-championship,gc,Russia,WC,,0,0,,0.0,,,0.0
2019-09-25,2019,world-championship-itt,gc,Russia,WC,,0,0,,0.0,,,0.0
2020-02-12,2020,colombia-21,gc,Russia,2.1,,0,0,,0.0,,,0.0
2020-02-16,2020,gp-antalya,gc,Russia,1.2,,0,0,,0.0,,,10.0
2020-02-09,2020,gp-manavgat,gc,Russia,1.2,,0,0,,0.0,,,0.0
2020-02-13,2020,grand-prix-alanya,gc,Russia,1.2,,0,0,,0.0,,,0.0
2020-09-04,2020,grand-prix-cappadocia,gc,Russia,1.2,,0,0,,0.0,,,40.0
2020-09-15,2020,grand-prix-central-anatolia,gc,Russia,1.2,,0,0,,0.0,,,23.0
2020-09-03,2020,grand-prix-develi,gc,Russia,1.2,,0,0,,0.0,,,3.0
2020-02-14,2020,grand-prix-gazipasa,gc,Russia,1.2,,0,0,,0.0,,,40.0
2020-03-01,2020,grand-prix-manavgat-side,gc,Russia,1.2,,0,0,,0.0,,,5.0
2020-09-05,2020,grand-prix-mount-erciyes-2200-mt,gc,Russia,1.2,,0,0,,0.0,,,70.0
2020-02-29,2020,grand-prix-velo-alanya,gc,Russia,1.2,,0,0,,0.0,,,0.0
2020-09-14,2020,grand-prix-velo-erciyes-me,gc,Russia,1.2,,0,0,,0.0,,,3.0
2020-09-06,2020,grand-prix-world-s-best-high-altitude,gc,Russia,1.2,,0,0,,0.0,,,20.0
2020-03-08,2020,porec-trophy,gc,Gazprom-Rusvelo U23,1.2,,0,0,,0.0,,,0.0
2020-02-20,2020,tour-of-antalya,gc,Russia,2.1,,0,0,,0.0,,,0.0
2020-03-04,2020,trofej-umag,gc,Gazprom-Rusvelo U23,1.2,,,1,,0.0,,,0.0
2020-08-24,2020,uec-road-european-championships-itt,gc,Russia,CC,,0,0,,0.0,,,0.0
2020-08-26,2020,uec-road-european-championships-me,gc,Russia,CC,,0,0,,0.0,,,16.0
2020-01-26,2020,vuelta-ciclista-a-la-provincia-de-san-juan,gc,Russia,2.Pro,,0,0,,5.0,,,5.0
2020-09-27,2020,world-championship,gc,Russia,WC,,0,0,,0.0,,,0.0
2020-09-25,2020,world-championship-itt,gc,Russia,WC,,,1,,0.0,,,0.0
2021-06-03,2021,giro-ciclistico-d-italia,gc,Gazprom-Rusvelo U23,2.2,62.0,0.0,1,,0.0,,,0.0
2021-09-03,2021,giro-della-regione-friuli-venezia-giulia,gc,Gazprom-Rusvelo U23,2.2,26.0,0.0,1,,0.0,,,0.0
2023-09-23,2023,tour-of-binzhou,gc,Yunnan Lvshan Landscape,2.2,,0,0,,0.0,,,0.0
2023-07-21,2023,tour-of-huangshan,gc,Yunnan Lvshan Landscape,2.2,13.0,0.0,1,,25.0,,,26.0
2023-09-08,2023,tour-of-poyang-lake,gc,Yunnan Lvshan Landscape,2.2,,0,0,,0.0,,,-10.0
2023-10-14,2023,trans-himalaya-cycling-race,gc,Chengdu CCN Cycling Team,2.2,,,1,,0.0,,,0.0
2023-10-14,2023,trans-himalaya-cycling-race,gc,Yunnan Lvshan Landscape,2.2,,0,0,,0.0,,,0.0
2024-06-20,2024,nc-china,gc,Chengdu Cycling Team,NC,,0,0,,0.0,,,1.0
2024-09-26,2024,tour-of-huangshan,gc,Chengdu Cycling Team,2.2,6.0,10.0,1,,50.0,,,58.0
2024-09-04,2024,tour-of-poyang-lake,gc,Chengdu Cycling Team,2.2,18.0,0.0,1,,40.0,,,58.0
2024-08-23,2024,trans-himalaya-cycling-race,gc,Chengdu Cycling Team,2.2,4.0,20.0,1,,50.0,,,57.0
