date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2020-08-07,2020,czech-tour,gc,Adria Mobil,2.1,,,1,,0.0,,,0.0
2020-10-09,2020,giro-della-regione-friuli-venezia-giulia,gc,Adria Mobil,2.2,,,1,,3.0,,,3.0
2020-07-26,2020,gp-kranj,gc,Adria Mobil,1.2,,0,0,,0.0,,,20.0
2020-06-21,2020,nc-slovenia,gc,Adria Mobil,NC,,,1,,0.0,,,51.0
2020-06-28,2020,nc-slovenia-itt,gc,Adria Mobil,NC,,,1,,0.0,,,16.0
2020-03-08,2020,porec-trophy,gc,Adria Mobil,1.2,,,1,,0.0,,,30.0
2020-08-29,2020,tour-de-hongrie,gc,Adria Mobil,2.1,,0,0,,43.0,,,43.0
2020-02-20,2020,tour-of-antalya,gc,Adria Mobil,2.1,,0,0,,5.0,,,10.0
2020-03-04,2020,trofej-umag,gc,Adria Mobil,1.2,,,1,,0.0,,,30.0
2021-04-22,2021,banja-luka-belgrade-i,gc,Adria Mobil,2.1,,0,0,,3.0,,,3.0
2021-08-05,2021,czech-tour,gc,Adria Mobil,2.1,,,1,,3.0,,,3.0
2021-09-03,2021,giro-della-regione-friuli-venezia-giulia,gc,Adria Mobil,2.2,,0,0,,15.0,,,15.0
2021-03-28,2021,gp-adria-mobil,gc,Adria Mobil,1.2,,,1,,0.0,,,15.0
2021-07-17,2021,gp-czech-republic,gc,Adria Mobil,1.2,,0,0,,0.0,,,20.0
2021-03-21,2021,gp-izola-butan-plin,gc,Adria Mobil,1.2,,,1,,0.0,,,0.0
2021-07-25,2021,gp-kranj,gc,Adria Mobil,1.2,,,1,,0.0,,,5.0
2021-05-30,2021,gp-slovenia,gc,Adria Mobil,1.2,,,1,,0.0,,,20.0
2021-03-11,2021,istrian-spring-tour,gc,Adria Mobil,2.2,,0,0,,0.0,,,0.0
2021-06-20,2021,nc-slovenia,gc,Adria Mobil,NC,,,1,,0.0,,,20.0
2021-06-17,2021,nc-slovenia-itt,gc,Adria Mobil,NC,,,1,,0.0,,,6.0
2021-09-15,2021,okolo-slovenska,gc,Adria Mobil,2.1,,,1,,0.0,,,0.0
2021-03-07,2021,porec-trophy,gc,Adria Mobil,1.2,,0,0,,0.0,,,0.0
2021-05-12,2021,tour-de-hongrie,gc,Adria Mobil,2.1,,0,0,,3.0,,,3.0
2021-09-28,2021,tour-of-croatia,gc,Adria Mobil,2.1,91.0,0.0,1,,3.0,,,3.0
2021-06-09,2021,tour-of-slovenia,gc,Adria Mobil,2.Pro,,0,0,,8.0,,,8.0
2021-03-03,2021,trofej-umag,gc,Adria Mobil,1.2,,,1,,0.0,,,0.0
2022-04-14,2022,banja-luka-belgrade-i,gc,Adria Mobil,2.1,,0,0,,70.0,,,75.0
2022-04-14,2022,banja-luka-belgrade-i,gc,Slovenia,2.1,,0,0,,3.0,,,3.0
2022-05-01,2022,circuito-del-porto-trofeo-arvedi,gc,Adria Mobil,1.2,,,1,,0.0,,,0.0
2022-08-04,2022,czech-tour,gc,Adria Mobil,2.1,,,1,,0.0,,,0.0
2022-09-02,2022,giro-della-regione-friuli-venezia-giulia,gc,Adria Mobil,2.2,,0,0,,0.0,,,0.0
2022-03-27,2022,gp-adria-mobil,gc,Adria Mobil,1.2,,0,0,,0.0,,,3.0
2022-07-16,2022,gp-cycliste-de-gemenc,gc,Adria Mobil,2.2,39.0,0.0,1,,0.0,,,0.0
2022-07-09,2022,gp-czech-republic,gc,Adria Mobil,1.2,,,1,,0.0,,,0.0
2022-05-22,2022,gp-gorenjska,gc,Adria Mobil,1.2,,0,0,,0.0,,,30.0
2022-03-24,2022,gp-goriska-vipava-valley,gc,Adria Mobil,1.2,,0,0,,0.0,,,0.0
2022-03-20,2022,gp-izola-butan-plin,gc,Adria Mobil,1.2,,,1,,0.0,,,3.0
2022-07-24,2022,gp-kranj,gc,Adria Mobil,1.2,,,1,,0.0,,,25.0
2022-03-10,2022,istrian-spring-tour,gc,Adria Mobil,2.2,,0,0,,0.0,,,0.0
