date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-08-05,2018,antwerpse-havenpijl,gc,Team Lotto - Kern Haus,1.2,,,1,,0.0,,,3.0
2018-04-21,2018,arno-wallaard-memorial,gc,Team Lotto - Kern Haus,1.2,,0.0,0,,0.0,,,40.0
2018-05-16,2018,baltyk-karkonosze-tour,gc,Team Lotto - Kern Haus,2.2,,0.0,0,,0.0,,,10.0
2018-05-31,2018,boucles-de-la-mayenne,gc,Team Lotto - Kern Haus,2.1,,0.0,0,,20.0,,,20.0
2018-09-09,2018,chrono-champenois-masculin,gc,Team Lotto - Kern Haus,1.2,,,1,,0.0,,,5.0
2018-10-14,2018,chrono-des-nations,gc,Team Lotto - Kern Haus,1.1,,0.0,0,,0.0,,,3.0
2018-08-23,2018,deutschland-tour,gc,Team Lotto - Kern Haus,2.1,,0.0,0,,0.0,,,0.0
2018-03-11,2018,dorpenomloop-rucphen,gc,Team Lotto - Kern Haus,1.2,,0.0,0,,0.0,,,0.0
2018-05-06,2018,fleche-ardennaise,gc,Team Lotto - Kern Haus,1.2,,0.0,0,,0.0,,,0.0
2018-09-23,2018,gooikse-pijl,gc,Team Lotto - Kern Haus,1.1,,0.0,0,,0.0,,,0.0
2018-07-26,2018,gp-cerami,gc,Team Lotto - Kern Haus,1.1,,0.0,0,,0.0,,,3.0
2018-07-28,2018,kreiz-breizh-elites,gc,Team Lotto - Kern Haus,2.2,,0.0,0,,0.0,,,0.0
2018-10-03,2018,munsterland-giro,gc,Team Lotto - Kern Haus,1.HC,,0.0,0,,0.0,,,3.0
2018-07-01,2018,nc-germany,gc,Team Lotto - Kern Haus,NC,,0.0,0,,0.0,,,20.0
2018-06-29,2018,nc-germany-itt,gc,Team Lotto - Kern Haus,NC,,0.0,0,,0.0,,,1.0
2018-03-04,2018,rhodes-gp,gc,Team Lotto - Kern Haus,1.2,,0.0,0,,0.0,,,25.0
2018-06-07,2018,ronde-de-l-oise,gc,Team Lotto - Kern Haus,2.2,,0.0,0,,0.0,,,0.0
2018-03-30,2018,route-adelie-de-vitre,gc,Team Lotto - Kern Haus,1.1,,0.0,0,,0.0,,,10.0
2018-06-10,2018,rund-um-koln,gc,Team Lotto - Kern Haus,1.1,,0.0,0,,0.0,,,3.0
2018-08-11,2018,slag-om-norg,gc,Team Lotto - Kern Haus,1.1,,0.0,0,,0.0,,,0.0
2018-05-11,2018,szlakiem-grodow-piastowskich,gc,Team Lotto - Kern Haus,2.2,,0.0,0,,0.0,,,0.0
2018-02-08,2018,tour-cycliste-international-la-provence,gc,Team Lotto - Kern Haus,2.1,,0.0,0,,0.0,,,0.0
2018-05-30,2018,tour-de-luxembourg,gc,Team Lotto - Kern Haus,2.HC,,0.0,0,,8.0,,,8.0
2018-03-09,2018,tour-of-rhodes,gc,Team Lotto - Kern Haus,2.2,,0.0,0,,0.0,,,6.0
2018-03-31,2018,volta-nxt-classic,gc,Team Lotto - Kern Haus,1.1,,0.0,0,,0.0,,,0.0
2018-04-28,2018,zodc-zuidenveld-tour,gc,Team Lotto - Kern Haus,1.2,,0.0,0,,0.0,,,5.0
