date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-06-15,2021,adriatica-ionica-race,gc,Colombia,2.1,,,1,,11.0,,,11.0
2021-06-03,2021,giro-ciclistico-d-italia,gc,Colombia Tierra de Atletas - GW Bicicletas,2.2,,0.0,0,,0.0,,,4.0
2021-07-04,2021,giro-del-medio-brenta,gc,Colombia Tierra de Atletas - GW Bicicletas,1.2,,,1,,0.0,,,43.0
2021-06-24,2021,giro-dell-appennino,gc,Colombia,1.1,,0.0,0,,0.0,,,0.0
2021-07-24,2021,olympic-games,gc,Colombia,Olympics,,0.0,0,,0.0,,,160.0
2021-07-28,2021,olympic-games-itt,gc,Colombia,Olympics,,0.0,0,,0.0,,,70.0
2021-08-13,2021,panamerican-champ-itt,gc,Colombia,CC,,0.0,0,,0.0,,,70.0
2021-08-15,2021,panamerican-championships,gc,Colombia,CC,,0.0,0,,0.0,,,383.0
2021-04-16,2021,vuelta-pilsen-a-colombia,gc,Colombia Tierra de Atletas - GW Bicicletas,2.2,,0.0,0,,0.0,,,21.0
2021-09-26,2021,world-championship,gc,Colombia,WC,,0.0,0,,0.0,,,0.0
2021-09-19,2021,world-championship-itt,gc,Colombia,WC,,0.0,0,,0.0,,,0.0
