date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-09-16,2018,int-raiffeisen-gp-judendorf-strassengel,gc,P&S Thuringen,1.2,,,1,,0.0,,,10.0
2018-03-08,2018,istrian-spring-tour,gc,P&S Thuringen,2.2,,,1,,0.0,,,0.0
2018-03-03,2018,porec-trophy,gc,P&S Thuringen,1.2,,0,0,,0.0,,,0.0
2019-05-22,2019,baltyk-karkonosze-tour,gc,P&S Metalltechnik,2.2,,0,0,,0.0,,,6.0
2019-07-02,2019,course-cycliste-de-solidarnosc,gc,P&S Metalltechnik,2.2,34.0,0.0,1,,3.0,,,3.0
2019-08-29,2019,deutschland-tour,gc,P&S Metalltechnik,2.HC,104.0,0.0,1,,0.0,,,0.0
2019-05-29,2019,fleche-du-sud,gc,P&S Metalltechnik,2.2,,0,0,,0.0,,,0.0
2019-03-14,2019,istrian-spring-tour,gc,P&S Metalltechnik,2.2,,0,0,,0.0,,,0.0
2019-08-17,2019,memorial-henryka-lasaka,gc,P&S Metalltechnik,1.2,,,1,,0.0,,,25.0
2019-06-30,2019,nc-germany,gc,P&S Metalltechnik,NC,,,1,,0.0,,,0.0
2019-06-28,2019,nc-germany-itt,gc,P&S Metalltechnik,NC,,0,0,,0.0,,,0.0
2019-03-09,2019,porec-trophy,gc,P&S Metalltechnik,1.2,,,1,,0.0,,,0.0
2019-08-18,2019,puchar-uzdrowisk-karpackich,gc,P&S Metalltechnik,1.2,,,1,,0.0,,,88.0
2019-06-02,2019,rund-um-koln,gc,P&S Metalltechnik,1.1,,,1,,0.0,,,3.0
2019-04-17,2019,tour-du-loir-et-cher,gc,P&S Metalltechnik,2.2,,0,0,,0.0,,,0.0
2019-10-01,2019,tour-of-croatia,gc,P&S Metalltechnik,2.1,,,1,,3.0,,,3.0
2019-03-06,2019,trofej-umag,gc,P&S Metalltechnik,1.2,,0,0,,0.0,,,0.0
2020-09-04,2020,baltyk-karkonosze-tour,gc,P&S Metalltechnik,2.2,,0,0,,0.0,,,0.0
2020-09-09,2020,course-cycliste-de-solidarnosc,gc,P&S Metalltechnik,2.2,14.0,0.0,1,,0.0,,,7.0
2020-08-23,2020,nc-germany,gc,P&S Metalltechnik,NC,,,1,,0.0,,,0.0
2020-03-08,2020,porec-trophy,gc,P&S Metalltechnik,1.2,,,1,,0.0,,,3.0
2020-08-12,2020,tour-bitwa-warszawska-1920,gc,P&S Metalltechnik,2.2,59.0,0.0,1,,0.0,,,0.0
2020-03-04,2020,trofej-umag,gc,P&S Metalltechnik,1.2,,0,0,,0.0,,,3.0
2021-08-05,2021,czech-tour,gc,P&S Metalltechnik,2.1,,,1,,3.0,,,6.0
2021-08-26,2021,deutschland-tour,gc,P&S Metalltechnik,2.Pro,75.0,0.0,1,,15.0,,,15.0
2021-07-14,2021,dookola-mazowsza,gc,P&S Metalltechnik,2.2,13.0,0.0,1,,35.0,,,38.0
2021-06-28,2021,in-the-footsteps-of-the-romans,gc,P&S Metalltechnik,2.2,4.0,20.0,1,,85.0,,,93.0
2021-03-11,2021,istrian-spring-tour,gc,P&S Metalltechnik,2.2,88.0,0.0,1,,0.0,,,0.0
2021-06-20,2021,nc-germany,gc,P&S Metalltechnik,NC,,,1,,0.0,,,0.0
2021-06-19,2021,nc-germany-itt,gc,P&S Metalltechnik,NC,,0,0,,0.0,,,0.0
2021-03-07,2021,porec-trophy,gc,P&S Metalltechnik,1.2,,0,0,,0.0,,,0.0
2021-07-18,2021,puchar-ministra-obrony-narodowej,gc,P&S Metalltechnik,1.2,,,1,,0.0,,,5.0
2021-08-20,2021,szlakiem-grodow-piastowskich,gc,P&S Metalltechnik,2.2,37.0,0.0,1,,0.0,,,1.0
2021-06-30,2021,tour-of-bulgaria,gc,P&S Metalltechnik,2.2,59.0,0.0,1,,40.0,,,57.0
2021-09-28,2021,tour-of-croatia,gc,P&S Metalltechnik,2.1,76.0,0.0,1,,3.0,,,3.0
2021-03-03,2021,trofej-umag,gc,P&S Metalltechnik,1.2,,,1,,0.0,,,5.0
2022-07-27,2022,dookola-mazowsza,gc,P&S Benotti,2.2,,0,0,,0.0,,,0.0
2022-05-25,2022,fleche-du-sud,gc,P&S Benotti,2.2,,0,0,,3.0,,,3.0
2022-06-10,2022,gp-du-canton-d-argovie,gc,P&S Benotti,1.1,,,1,,0.0,,,0.0
2022-04-29,2022,grand-prix-nasielsk-serock,gc,P&S Benotti,1.2,,,1,,0.0,,,30.0
2022-04-30,2022,grand-prix-wyszkow,gc,P&S Benotti,1.2,,,1,,0.0,,,23.0
2022-09-03,2022,in-the-footsteps-of-the-romans,gc,P&S Benotti,2.2,,0,0,,3.0,,,3.0
2022-03-10,2022,istrian-spring-tour,gc,P&S Benotti,2.2,121.0,0.0,1,,0.0,,,0.0
2022-07-26,2022,memorial-andrzeja-trochanowskiego,gc,P&S Benotti,1.2,,0,0,,0.0,,,40.0
2022-08-13,2022,memorial-henryka-lasaka,gc,P&S Benotti,1.2,,0,0,,0.0,,,0.0
2022-08-14,2022,memorial_jana_magiery_2022,gc,P&S Benotti,1.2,,0,0,,0.0,,,15.0
