date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-03-05,2017,3daagse-van-west-vlaanderen,gc,Team LottoNL-Jumbo,1.1,,0,0,,0.0,,,158.0
2017-02-23,2017,abu-dhabi-tour,gc,Team LottoNL-Jumbo,2.UWT,,0,0,,128.0,,,128.0
2017-04-16,2017,amstel-gold-race,gc,Team LottoNL-Jumbo,1.UWT,,0,0,,0.0,,,120.0
2017-04-12,2017,brabantse-pijl,gc,Team LottoNL-Jumbo,1.HC,,0,0,,0.0,,,160.0
2017-08-27,2017,bretagne-classic,gc,Team LottoNL-Jumbo,1.UWT,,,1,,0.0,,,52.0
2017-10-15,2017,chrono-des-nations,gc,Team LottoNL-Jumbo,1.1,,0,0,,0.0,,,50.0
2017-10-01,2017,circuit-franco-belge,gc,Team LottoNL-Jumbo,1.HC,,0,0,,0.0,,,70.0
2017-08-20,2017,cyclassics-hamburg,gc,Team LottoNL-Jumbo,1.UWT,,0,0,,0.0,,,270.0
2017-08-23,2017,druivenkoers-overijse,gc,Team LottoNL-Jumbo,1.1,,0,0,,0.0,,,113.0
2017-01-31,2017,dubai-tour,gc,Team LottoNL-Jumbo,2.HC,61.0,0.0,1,,150.0,,,170.0
2017-03-22,2017,dwars-door-vlaanderen,gc,Team LottoNL-Jumbo,1.UWT,,0,0,,0.0,,,144.0
2017-03-24,2017,e3-harelbeke,gc,Team LottoNL-Jumbo,1.UWT,,,1,,0.0,,,24.0
2017-05-01,2017,eschborn-frankfurt,gc,Team LottoNL-Jumbo,1.UWT,,0,0,,0.0,,,149.0
2017-03-26,2017,gent-wevelgem,gc,Team LottoNL-Jumbo,1.UWT,,,1,,0.0,,,43.0
2017-05-05,2017,giro-d-italia,gc,Team LottoNL-Jumbo,2.UWT,,0,0,,32.0,0.0,0.0,144.0
2017-05-05,2017,giro-d-italia,kom,Team LottoNL-Jumbo,2.UWT,,0,0,,32.0,0.0,0.0,144.0
2017-05-05,2017,giro-d-italia,points,Team LottoNL-Jumbo,2.UWT,,0,0,,32.0,0.0,0.0,144.0
2017-09-13,2017,gp-de-wallonie,gc,Team LottoNL-Jumbo,1.1,,0,0,,0.0,,,18.0
2017-09-16,2017,gp-impanis-van-petegem,gc,Team LottoNL-Jumbo,1.HC,,0,0,,0.0,,,53.0
2017-08-20,2017,gp-jef-scherens,gc,Team LottoNL-Jumbo,1.1,,0,0,,0.0,,,5.0
2017-09-10,2017,gp-montreal,gc,Team LottoNL-Jumbo,1.UWT,,,1,,0.0,,,10.0
2017-09-08,2017,gp-quebec,gc,Team LottoNL-Jumbo,1.UWT,,,1,,0.0,,,20.0
2017-03-01,2017,gp-samyn,gc,Team LottoNL-Jumbo,1.1,,0,0,,0.0,,,33.0
2017-08-22,2017,gp-stad-zottegem,gc,Team LottoNL-Jumbo,1.1,,0,0,,0.0,,,53.0
2017-01-29,2017,great-ocean-road-race,gc,Team LottoNL-Jumbo,1.UWT,,0,0,,0.0,,,100.0
2017-06-21,2017,halle-ingooigem,gc,Team LottoNL-Jumbo,1.1,,0,0,,0.0,,,3.0
2017-10-07,2017,il-lombardia,gc,Team LottoNL-Jumbo,1.UWT,,0,0,,0.0,,,48.0
2017-04-03,2017,itzulia-basque-country,gc,Team LottoNL-Jumbo,2.UWT,,0,0,,244.0,,,344.0
2017-10-22,2017,japan-cup,gc,Team LottoNL-Jumbo,1.HC,,0,0,,0.0,,,160.0
2017-09-15,2017,kampioenschap-van-vlaanderen1,gc,Team LottoNL-Jumbo,1.1,,0,0,,0.0,,,88.0
