date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2019-10-20,2019,japan-cup,gc,Shimano Racing Team,1.HC,,,1,,0.0,,,3.0
2019-06-30,2019,nc-japan,gc,Shimano Racing Team,NC,,,1,,0.0,,,150.0
2019-08-11,2019,oita-urban-classic,gc,Shimano Racing Team,1.2,,,1,,0.0,,,3.0
2019-07-21,2019,tokyo-2020-test-event,gc,Shimano Racing Team,1.2,,,1,,0.0,,,0.0
2019-09-06,2019,tour-de-hokkaido,gc,Shimano Racing Team,2.2,,,1,,0.0,,,0.0
2019-05-30,2019,tour-de-kumano,gc,Shimano Racing Team,2.2,24.0,0.0,1,,0.0,,,2.0
2019-11-10,2019,tour-de-okinawa,gc,Shimano Racing Team,1.2,,,1,,0.0,,,3.0
2021-10-24,2021,nc-japan,gc,Shimano Racing Team,NC,,,1,,0.0,,,0.0
2021-10-22,2021,nc-japan-itt,gc,Shimano Racing Team,NC,,0,0,,0.0,,,3.0
2021-10-10,2021,oita-urban-classic,gc,Shimano Racing Team,1.2,,,1,,0.0,,,0.0
2022-10-16,2022,japan-cup,gc,Shimano Racing Team,1.Pro,,,1,,0.0,,,3.0
2022-06-26,2022,nc-japan,gc,Shimano Racing Team,NC,,,1,,0.0,,,50.0
2022-06-24,2022,nc-japan-itt,gc,Shimano Racing Team,NC,,,1,,0.0,,,15.0
2022-10-02,2022,oita-urban-classic,gc,Shimano Racing Team,1.2,,0,0,,0.0,,,0.0
2022-09-09,2022,tour-de-hokkaido,gc,Shimano Racing Team,2.2,17.0,0.0,1,,0.0,,,3.0
2022-05-27,2022,tour-de-kumano,gc,Shimano Racing Team,2.2,40.0,0.0,1,,3.0,,,4.0
2022-11-13,2022,tour-de-okinawa,gc,Shimano Racing Team,1.2,,,1,,0.0,,,3.0
2022-10-02,2022,tour-de-taiwan,gc,Shimano Racing Team,2.1,10.0,20.0,1,,51.0,,,51.0
2022-05-19,2022,tour-of-japan,gc,Shimano Racing Team,2.2,40.0,0.0,1,,0.0,,,0.0
2023-11-05,2023,mine-akiyoshi-dai-karst-international-road-race,gc,Shimano Racing Team,1.2,,,1,,0.0,,,0.0
2023-06-25,2023,nc-japan,gc,Shimano Racing Team,NC,,,1,,0.0,,,3.0
2023-06-23,2023,nc-japan-itt,gc,Shimano Racing Team,NC,,,1,,0.0,,,0.0
2023-10-01,2023,oita-urban-classic,gc,Shimano Racing Team,1.2,,,1,,0.0,,,6.0
2023-09-08,2023,tour-de-hokkaido,gc,Shimano Racing Team,2.2,,,1,,0.0,,,0.0
2023-06-03,2023,tour-de-kumano,gc,Shimano Racing Team,2.2,4.0,20.0,1,,20.0,,,20.0
2023-10-07,2023,tour-de-kyushu,gc,Shimano Racing Team,2.1,23.0,3.0,1,,3.0,,,3.0
2023-11-12,2023,tour-de-okinawa,gc,Shimano Racing Team,1.2,,,1,,0.0,,,33.0
2023-05-21,2023,tour-of-japan,gc,Shimano Racing Team,2.1,68.0,0.0,1,,6.0,,,6.0
2023-10-08,2023,tour-of-turkey,gc,Shimano Racing Team,2.1,,0,0,,0.0,,,0.0
2024-10-20,2024,japan-cup,gc,Shimano Racing,1.Pro,,,1,,0.0,,,0.0
2024-06-23,2024,nc-japan,gc,Shimano Racing,NC,,,1,,0.0,,,1.0
2024-06-21,2024,nc-japan-itt,gc,Shimano Racing,NC,,0,0,,0.0,,,3.0
2024-09-29,2024,oita-urban-classic,gc,Shimano Racing,1.2,,,1,,0.0,,,0.0
2024-05-10,2024,tour-de-kumano,gc,Shimano Racing,2.2,44.0,0.0,1,,0.0,,,0.0
2024-10-12,2024,tour-de-kyushu,gc,Shimano Racing,2.1,,,1,,43.0,,,43.0
2024-11-01,2024,tour-do-rio,gc,Shimano Racing,2.2,,0,0,,0.0,,,0.0
2024-05-19,2024,tour-of-japan,gc,Shimano Racing,2.2,57.0,0.0,1,,0.0,,,3.0
2024-09-08,2024,tour-of-salalah,gc,Shimano Racing,2.2,49.0,0.0,1,,10.0,,,11.0
2025-09-06,2025,dhofar-classic,gc,Shimano Racing,1.2,,0,0,,0.0,,,10.0
2025-03-23,2025,grand-prix-apollon-temple-me,gc,Shimano Racing,1.2,,,1,,0.0,,,0.0
2025-10-19,2025,japan-cup,gc,Shimano Racing,1.Pro,,0,0,,0.0,,,0.0
2025-06-22,2025,nc-japan,gc,Shimano Racing,NC,,,1,,0.0,,,4.0
2025-06-29,2025,nc-japan-itt,gc,Shimano Racing,NC,,0,0,,0.0,,,1.0
2025-10-05,2025,oita-urban-classic,gc,Shimano Racing,1.2,,0,0,,0.0,,,25.0
2025-04-06,2025,syedra-ancient-city,gc,Shimano Racing,1.2,,0,0,,0.0,,,0.0
2025-07-13,2025,the-road-race-tokyo-tama,gc,Shimano Racing,1.2,,0,0,,0.0,,,15.0
2025-05-08,2025,tour-de-kumano,gc,Shimano Racing,2.2,,0,0,,0.0,,,0.0
2025-10-11,2025,tour-de-kyushu,gc,Shimano Racing,2.1,,0,0,,0.0,,,0.0
2025-11-09,2025,tour-de-okinawa,gc,Shimano Racing,1.2,,0,0,,0.0,,,0.0
2025-05-18,2025,tour-of-japan,gc,Shimano Racing,2.2,81.0,0.0,1,,0.0,,,0.0
2025-04-10,2025,tour-of-mersin,gc,Shimano Racing,2.2,,0,0,,0.0,,,0.0
2025-09-07,2025,tour-of-salalah,gc,Shimano Racing,2.2,,0,0,,5.0,,,8.0
