date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2023-04-06,2023,circuit-des-ardennes,gc,VC Villefranche Beaujolais,2.2,81.0,0.0,1,,0.0,,,3.0
2023-09-03,2023,grand-prix-de-plouay,gc,VC Villefranche Beaujolais,1.2,,0,0,,0.0,,,0.0
2023-07-28,2023,kreiz-breizh-elites,gc,VC Villefranche Beaujolais,2.2,,0,0,,0.0,,,0.0
2023-06-22,2023,nc-france-itt,gc,VC Villefranche Beaujolais,NC,,0,0,,0.0,,,0.0
2023-05-29,2023,paris-troyes,gc,VC Villefranche Beaujolais,1.2,,0,0,,0.0,,,25.0
2023-05-24,2023,rhone-alpes-isere-tour,gc,VC Villefranche Beaujolais,2.2,41.0,0.0,1,,0.0,,,3.0
2023-06-16,2023,tour-du-pays-de-montbeliard,gc,VC Villefranche Beaujolais,2.2,65.0,0.0,1,,0.0,,,0.0
2024-04-04,2024,circuit-des-ardennes,gc,VC Villefranche Beaujolais,2.2,89.0,0.0,1,,0.0,,,1.0
2024-09-15,2024,gp-de-la-ville-de-nogent-sur-oise,gc,VC Villefranche Beaujolais,1.2,,,1,,0.0,,,3.0
2024-06-20,2024,nc-france-itt,gc,VC Villefranche Beaujolais,NC,,0,0,,0.0,,,0.0
2024-05-20,2024,paris-troyes,gc,VC Villefranche Beaujolais,1.2,,0,0,,0.0,,,0.0
2024-05-22,2024,rhone-alpes-isere-tour,gc,VC Villefranche Beaujolais,2.2,,0,0,,0.0,,,0.0
2025-04-05,2025,boucle-de-l-artois,gc,Vélo Club Villefranche Beaujolais,1.2,,0,0,,0.0,,,0.0
2025-04-09,2025,circuit-des-ardennes,gc,Vélo Club Villefranche Beaujolais,2.2,58.0,0.0,1,,5.0,,,6.0
2025-03-09,2025,gp-de-la-ville-de-lillers,gc,Vélo Club Villefranche Beaujolais,1.2,,0,0,,0.0,,,0.0
2025-03-08,2025,grand-prix-criquielion,gc,Vélo Club Villefranche Beaujolais,1.1,,0,0,,0.0,,,3.0
2025-08-31,2025,grand-prix-de-plouay,gc,Vélo Club Villefranche Beaujolais,1.2,,,1,,0.0,,,0.0
2025-09-20,2025,milano-rapallo,gc,Vélo Club Villefranche Beaujolais,1.2,,0,0,,0.0,,,3.0
2025-06-28,2025,nc-canada2,gc,Vélo Club Villefranche Beaujolais,NC,,0,0,,0.0,,,0.0
2025-06-26,2025,nc-france-itt,gc,Vélo Club Villefranche Beaujolais,NC,,0,0,,0.0,,,0.0
2025-06-09,2025,paris-troyes,gc,Vélo Club Villefranche Beaujolais,1.2,,0,0,,0.0,,,3.0
2025-05-28,2025,rhone-alpes-isere-tour,gc,Vélo Club Villefranche Beaujolais,2.2,,0,0,,5.0,,,6.0
2025-09-26,2025,tour-de-la-mirabelle,gc,Vélo Club Villefranche Beaujolais,1.2,,0,0,,0.0,,,3.0
2025-04-16,2025,tour-du-loir-et-cher,gc,Vélo Club Villefranche Beaujolais,2.2,,0,0,,0.0,,,0.0
2025-04-27,2025,trofeo-torino-biella-giro-della-provincia-di-biell,gc,Vélo Club Villefranche Beaujolais,1.2,,,1,,0.0,,,25.0
