date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-02-12,2018,asian-championships-me,gc,China,CC,,0,0,,0.0,,,95.0
2018-09-26,2018,banyuwangi-tour-de-ijen,gc,Ningxia Sports Lottery - Livall Cycling team,2.2,,0,0,,0.0,,,3.0
2018-05-21,2018,le-tour-de-filipinas,gc,Ningxia Sports Lottery - Livall Cycling team,2.2,66.0,0.0,1,,0.0,,,0.0
2018-02-04,2018,nc-colombia,gc,Ningxia Sports Lottery - Livall Cycling team,NC,,0,0,,0.0,,,0.0
2018-06-25,2018,nc-mongolia,gc,Ningxia Sports Lottery - Livall Cycling team,NC,,0,0,,0.0,,,55.0
2018-06-22,2018,nc-mongolia-itt,gc,Ningxia Sports Lottery - Livall Cycling team,NC,,0,0,,0.0,,,20.0
2018-08-23,2018,summer-asian-games,gc,China,JC,,,1,,0.0,,,0.0
2018-08-24,2018,summer-asian-games-itt,gc,China,JC,,0,0,,0.0,,,10.0
2018-09-29,2018,tour-of-almaty,gc,Ningxia Sports Lottery - Livall Cycling team,2.1,91.0,0.0,1,,5.0,,,5.0
2018-09-08,2018,tour-of-china,gc,Ningxia Sports Lottery - Livall Cycling team,2.1,108.0,0.0,1,,10.0,,,10.0
2018-09-17,2018,tour-of-china-ii,gc,Ningxia Sports Lottery - Livall Cycling team,2.1,76.0,0.0,1,,0.0,,,0.0
2018-10-23,2018,tour-of-hainan,gc,Ningxia Sports Lottery - Livall Cycling team,2.HC,86.0,0.0,1,,8.0,,,8.0
2018-07-22,2018,tour-of-magnificent-qinghai,gc,Ningxia Sports Lottery - Livall Cycling team,2.HC,,0,0,,70.0,,,100.0
2018-11-09,2018,tour-of-quanzhou-bay,gc,Ningxia Sports Lottery - Livall Cycling team,2.2,58.0,0.0,1,,0.0,,,0.0
2018-11-04,2018,tour-of-singkarak,gc,Ningxia Sports Lottery - Livall Cycling team,2.2,,0,0,,15.0,,,32.0
2018-10-07,2018,tour-of-taihu-lake,gc,Ningxia Sports Lottery - Livall Cycling team,2.1,83.0,0.0,1,,0.0,,,5.0
2018-09-03,2018,tour-of-xingtai,gc,Ningxia Sports Lottery - Livall Cycling team,2.2,59.0,0.0,1,,15.0,,,15.0
2018-01-12,2018,vuelta-al-tachira,gc,Ningxia Sports Lottery - Livall Cycling team,2.2,,0,0,,0.0,,,0.0
