date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-06-23,2021,course-cycliste-de-solidarnosc,gc,TC Chrobry SCOTT Głogów,2.2,100.0,0.0,1,,0.0,,,0.0
2021-07-14,2021,dookola-mazowsza,gc,TC Chrobry SCOTT Głogów,2.2,,0,0,,0.0,,,3.0
2021-07-17,2021,gp-czech-republic,gc,TC Chrobry SCOTT Głogów,1.2,,,1,,0.0,,,0.0
2021-08-15,2021,memorial-henryka-lasaka,gc,TC Chrobry SCOTT Głogów,1.2,,0,0,,0.0,,,0.0
2021-07-18,2021,puchar-ministra-obrony-narodowej,gc,TC Chrobry SCOTT Głogów,1.2,,0,0,,0.0,,,10.0
2021-08-20,2021,szlakiem-grodow-piastowskich,gc,TC Chrobry SCOTT Głogów,2.2,,0,0,,0.0,,,0.0
2021-06-03,2021,tour-of-malopolska,gc,TC Chrobry SCOTT Głogów,2.2,139.0,0.0,1,,0.0,,,0.0
2021-07-10,2021,visegrad-4-bicycle-race-gp-hungary,gc,TC Chrobry SCOTT Głogów,1.2,,0,0,,0.0,,,0.0
2021-07-18,2021,visegrad-4-bicycle-race-gp-polski-via-odra,gc,TC Chrobry SCOTT Głogów,1.2,,0,0,,0.0,,,3.0
2022-07-27,2022,dookola-mazowsza,gc,TC Chrobry SCOTT Głogów,2.2,99.0,0.0,1,,0.0,,,0.0
2022-07-16,2022,gp-cycliste-de-gemenc,gc,TC Chrobry SCOTT Głogów,2.2,45.0,0.0,1,,0.0,,,0.0
2022-07-09,2022,gp-czech-republic,gc,TC Chrobry SCOTT Głogów,1.2,,,1,,0.0,,,0.0
2022-04-29,2022,grand-prix-nasielsk-serock,gc,TC Chrobry SCOTT Głogów,1.2,,,1,,0.0,,,0.0
2022-04-30,2022,grand-prix-wyszkow,gc,TC Chrobry SCOTT Głogów,1.2,,,1,,0.0,,,0.0
2022-08-13,2022,memorial-henryka-lasaka,gc,TC Chrobry SCOTT Głogów,1.2,,0,0,,0.0,,,0.0
2022-08-14,2022,memorial_jana_magiery_2022,gc,TC Chrobry SCOTT Głogów,1.2,,0,0,,0.0,,,0.0
2022-06-03,2022,tour-of-malopolska,gc,TC Chrobry SCOTT Głogów,2.2,,,1,,0.0,,,0.0
2022-07-23,2022,visegrad-4-bicycle-race-gp-hungary,gc,TC Chrobry SCOTT Głogów,1.2,,,1,,0.0,,,0.0
2022-07-10,2022,visegrad-4-bicycle-race-gp-polski-via-odra,gc,TC Chrobry SCOTT Głogów,1.2,,,1,,0.0,,,0.0
2022-07-24,2022,visegrad-4-bicycle-race-gp-slovakia,gc,TC Chrobry SCOTT Głogów,1.2,,,1,,0.0,,,0.0
2023-06-28,2023,course-cycliste-de-solidarnosc,gc,Chrobry Scott Głogów,2.2,,,1,,0.0,,,0.0
2023-07-23,2023,gp-czech-republic,gc,Chrobry Scott Głogów,1.2,,0,0,,0.0,,,0.0
2023-08-12,2023,memorial-henryka-lasaka,gc,Chrobry Scott Głogów,1.2,,0,0,,0.0,,,0.0
2023-08-13,2023,memorial_jana_magiery_2022,gc,Chrobry Scott Głogów,1.2,,0,0,,0.0,,,0.0
2023-07-30,2023,puchar-ministra-obrony-narodowej,gc,Chrobry Scott Głogów,1.2,,,1,,0.0,,,0.0
2023-06-01,2023,tour-of-malopolska,gc,Chrobry Scott Głogów,2.2,,,1,,0.0,,,0.0
2023-07-08,2023,visegrad-4-bicycle-race-gp-hungary,gc,Chrobry Scott Głogów,1.2,,0,0,,0.0,,,3.0
2023-07-22,2023,visegrad-4-bicycle-race-gp-polski-via-odra,gc,Chrobry Scott Głogów,1.2,,,1,,0.0,,,0.0
2023-07-09,2023,visegrad-4-bicycle-race-gp-slovakia,gc,Chrobry Scott Głogów,1.2,,0,0,,0.0,,,0.0
