date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2019-05-05,2019,circuito-del-porto-trofeo-arvedi,gc,Biesse Carrera,1.2,,0,0,,0.0,,,0.0
2019-09-14,2019,coppa-agostoni,gc,Biesse Carrera,1.1,,0,0,,0.0,,,5.0
2019-09-15,2019,coppa-bernocchi,gc,Biesse Carrera,1.1,,0,0,,0.0,,,5.0
2019-07-14,2019,giro-del-medio-brenta,gc,Biesse Carrera,1.2,,0,0,,0.0,,,43.0
2019-04-28,2019,giro-dell-appennino,gc,Biesse Carrera,1.1,,0,0,,0.0,,,70.0
2019-10-05,2019,giro-dell-emilia,gc,Biesse Carrera,1.HC,,,1,,0.0,,,0.0
2019-09-05,2019,giro-della-regione-friuli-venezia-giulia,gc,Biesse Carrera,2.2,,0,0,,20.0,,,21.0
2019-04-07,2019,gp-adria-mobil,gc,Biesse Carrera,1.2,,0,0,,0.0,,,3.0
2019-10-06,2019,gp-bruno-beghelli,gc,Biesse Carrera,1.HC,,,1,,0.0,,,0.0
2019-03-10,2019,gp-industria-artigianato,gc,Biesse Carrera,1.HC,,0,0,,0.0,,,3.0
2019-02-24,2019,gp-izola-butan-plin,gc,Biesse Carrera,1.2,,0,0,,0.0,,,20.0
2019-06-09,2019,gp-lugano,gc,Biesse Carrera,1.1,,0,0,,0.0,,,13.0
2019-03-14,2019,istrian-spring-tour,gc,Biesse Carrera,2.2,,0,0,,3.0,,,3.0
2019-09-21,2019,memorial-marco-pantani,gc,Biesse Carrera,1.1,,,1,,0.0,,,0.0
2019-06-30,2019,nc-italy,gc,Biesse Carrera,NC,,0,0,,0.0,,,0.0
2019-06-30,2019,nc-switserland,gc,Biesse Carrera,NC,,0,0,,0.0,,,0.0
2019-03-09,2019,porec-trophy,gc,Biesse Carrera,1.2,,0,0,,0.0,,,0.0
2019-03-06,2019,trofej-umag,gc,Biesse Carrera,1.2,,0,0,,0.0,,,0.0
2019-06-02,2019,trofeo-alcide-degasperi,gc,Biesse Carrera,1.2,,0,0,,0.0,,,20.0
2019-07-02,2019,trofeo-citta-di-brescia,gc,Biesse Carrera,1.2,,0,0,,0.0,,,15.0
2019-02-17,2019,trofeo-laigueglia,gc,Biesse Carrera,1.HC,,0,0,,0.0,,,0.0
2019-09-22,2019,trofeo-matteotti,gc,Biesse Carrera,1.1,,,1,,0.0,,,3.0
2019-01-27,2019,vuelta-ciclista-a-la-provincia-de-san-juan,gc,Biesse Carrera,2.1,,0,0,,0.0,,,0.0
2020-09-19,2020,giro-dell-appennino,gc,Biesse Arvedi,1.1,,,1,,0.0,,,3.0
2020-09-19,2020,giro-dell-appennino,gc,Italy,1.1,,0,0,,0.0,,,73.0
2020-08-18,2020,giro-dell-emilia,gc,Italy,1.Pro,,0,0,,0.0,,,5.0
2020-09-16,2020,giro-di-toscana,gc,Italy,1.1,,0,0,,0.0,,,11.0
2020-09-17,2020,gp-citta-di-peccioli,gc,Italy,1.Pro,,,1,,0.0,,,190.0
2020-08-12,2020,gran-piemonte,gc,Italy,1.Pro,,0,0,,0.0,,,8.0
2020-08-03,2020,gran-trittico-lombardo,gc,Italy,1.Pro,,0,0,,0.0,,,13.0
2020-08-05,2020,milano-torino,gc,Italy,1.Pro,,0,0,,0.0,,,11.0
