date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-05-22,2022,antwerp-port-epic,gc,ARA Pro Racing Sunshine Coast,1.1,,0,0,,0.0,,,0.0
2022-05-26,2022,circuit-de-wallonie,gc,ARA Pro Racing Sunshine Coast,1.1,,0,0,,0.0,,,0.0
2022-06-12,2022,circuit-des-xi-villes,gc,ARA Pro Racing Sunshine Coast,1.1,,0,0,,0.0,,,0.0
2022-05-29,2022,grote-prijs-marcel-kint,gc,ARA Pro Racing Sunshine Coast,1.1,,0,0,,0.0,,,0.0
2022-06-05,2022,memorial-philippe-van-coningsloo,gc,ARA Pro Racing Sunshine Coast,1.2,,0,0,,0.0,,,40.0
2022-06-19,2022,midden-brabant-poort-omloop,gc,ARA Pro Racing Sunshine Coast,1.2,,0,0,,0.0,,,0.0
2022-01-16,2022,nc-australia,gc,ARA Pro Racing Sunshine Coast,NC,,0,0,,0.0,,,50.0
2022-01-12,2022,nc-australia-itt,gc,ARA Pro Racing Sunshine Coast,NC,,0,0,,0.0,,,5.0
2022-07-24,2022,nc-singapore-itt,gc,ARA Pro Racing Sunshine Coast,NC,,,1,,0.0,,,35.0
2022-04-10,2022,oceania-championships,gc,ARA Pro Racing Sunshine Coast,CC,,0,0,,0.0,,,5.0
2022-10-02,2022,oita-urban-classic,gc,ARA Pro Racing Sunshine Coast,1.2,,,1,,0.0,,,8.0
2022-06-06,2022,paris-troyes,gc,ARA Pro Racing Sunshine Coast,1.2,,0,0,,0.0,,,0.0
2022-05-07,2022,ronde-van-overijssel,gc,ARA Pro Racing Sunshine Coast,1.2,,0,0,,0.0,,,30.0
2022-10-11,2022,tour-de-langkawi,gc,ARA Pro Racing Sunshine Coast,2.Pro,,0,0,,3.0,,,13.0
2022-05-21,2022,veenendaal-veenendaal,gc,ARA Pro Racing Sunshine Coast,1.1,,0,0,,0.0,,,0.0
2022-04-30,2022,zodc-zuidenveld-tour,gc,ARA Pro Racing Sunshine Coast,1.2,,0,0,,0.0,,,0.0
2023-05-12,2023,south-east-asian-games,gc,Singapore,JR,,,1,,0.0,,,0.0
2023-04-01,2023,tour-of-thailand,gc,Singapore,2.1,76.0,0.0,1,,0.0,,,0.0
2024-03-30,2024,bueng-si-fai-international-road-race,gc,Singapore,1.2,,0,0,,0.0,,,0.0
2024-10-05,2024,tour-de-batam,gc,Singapore,1.2,,,1,,0.0,,,0.0
2024-12-06,2024,tour-de-siak,gc,Singapore,2.2,,0,0,,30.0,,,33.0
2024-04-01,2024,tour-of-thailand,gc,Singapore,2.1,86.0,0.0,1,,0.0,,,0.0
2025-02-11,2025,asian-cycling-championships-itt,gc,Singapore,CC,,0,0,,0.0,,,0.0
2025-12-16,2025,south-east-asian-games,gc,Singapore,JR,,,1,,0.0,,,0.0
2025-12-15,2025,south-east-asian-games-itt,gc,Singapore,JR,,0,0,,0.0,,,0.0
2025-03-24,2025,tour-of-thailand,gc,Singapore,2.1,53.0,0.0,1,,0.0,,,-15.0
