date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-04-07,2017,tour-du-maroc,gc,Tunisia,2.2,53.0,0.0,1,,0.0,,,0.0
2018-09-09,2018,chrono-champenois-masculin,gc,VIB Sports,1.2,,0,0,,0.0,,,0.0
2018-07-31,2018,circuito-de-getxo,gc,VIB Sports,1.1,,,1,,0.0,,,0.0
2018-03-23,2018,grand-prix-international-de-la-pharmacie-centrale-,gc,VIB Sports,1.2,,,1,,0.0,,,15.0
2018-04-08,2018,klasika-primavera,gc,VIB Sports,1.1,,0,0,,0.0,,,0.0
2018-01-15,2018,la-tropicale-amissa-bongo,gc,Tunisia,2.1,34.0,0.0,1,,0.0,,,0.0
2018-06-30,2018,mediterranean-games-itt,gc,VIB Sports,JR,,0,0,,0.0,,,0.0
2018-06-24,2018,nc-spain,gc,VIB Sports,NC,,0,0,,0.0,,,0.0
2018-07-01,2018,nc-tunisia,gc,VIB Sports,NC,,,1,,0.0,,,50.0
2018-06-28,2018,nc-tunisia-itt,gc,VIB Sports,NC,,,1,,0.0,,,25.0
2018-05-12,2018,scandinavian-race-uppsala,gc,VIB Sports,1.2,,0,0,,0.0,,,0.0
2018-03-27,2018,tour-d-algerie-cycliste,gc,VIB Sports,2.2,23.0,0.0,1,,25.0,,,44.0
2018-04-06,2018,tour-du-maroc,gc,Tunisia,2.2,53.0,0.0,1,,0.0,,,0.0
2018-01-26,2018,tour-international-des-zibans,gc,VIB Sports,2.2,,0,0,,0.0,,,0.0
2018-05-04,2018,tour-internationale-d-oranie,gc,VIB Sports,2.2,11.0,0.0,1,,38.0,,,45.0
2018-09-27,2018,tour-of-black-sea,gc,VIB Sports,2.2,37.0,0.0,1,,0.0,,,1.0
2018-01-24,2018,tour-of-sharjah,gc,VIB Sports,2.1,,0,0,,40.0,,,40.0
2018-03-20,2018,tour-pharmacie-centrale-tunisie,gc,VIB Sports,2.2,4.0,20.0,1,,20.0,,,20.0
2019-08-29,2019,african-games-road-race-me,gc,VIB Sports,JC,,,1,,0.0,,,5.0
2019-07-31,2019,circuito-de-getxo,gc,VIB Sports,1.1,,0,0,,0.0,,,3.0
2019-04-12,2019,gp-internacional-beiras-e-serra-da-estrela,gc,VIB Sports,2.1,,0,0,,0.0,,,0.0
2019-09-20,2019,grand-prix-erciyes-mimar-sinan-me,gc,VIB Sports,1.2,,0,0,,0.0,,,3.0
2019-09-06,2019,grand-prix-velo-erciyes-me,gc,VIB Sports,1.2,,0,0,,0.0,,,15.0
2019-10-02,2019,international-azerbaijan-tour,gc,VIB Sports,2.1,,0,0,,36.0,,,36.0
2019-07-20,2019,nc-algeria,gc,VIB Sports,NC,,0,0,,0.0,,,30.0
2019-07-18,2019,nc-algeria-itt,gc,VIB Sports,NC,,0,0,,0.0,,,33.0
2019-06-30,2019,nc-spain,gc,VIB Sports,NC,,0,0,,0.0,,,0.0
2019-06-30,2019,nc-tunisia,gc,VIB Sports,NC,,,1,,0.0,,,1.0
2019-06-27,2019,nc-tunisia-itt,gc,VIB Sports,NC,,,1,,0.0,,,25.0
2019-07-25,2019,prueba-villafranca,gc,VIB Sports,1.1,,0,0,,0.0,,,20.0
2019-05-17,2019,tour-of-black-sea,gc,VIB Sports,2.2,,0,0,,0.0,,,0.0
2019-09-07,2019,tour-of-central-anatolia,gc,VIB Sports,2.2,,0,0,,5.0,,,5.0
2019-09-21,2019,tour-of-kayseri,gc,VIB Sports,2.2,,0,0,,25.0,,,26.0
2019-04-25,2019,tour-of-mersin,gc,VIB Sports,2.2,,0,0,,26.0,,,27.0
2019-05-02,2019,tour-of-mesopotamia,gc,VIB Sports,2.2,,0,0,,40.0,,,43.0
2019-09-27,2019,tour-of-mevlana,gc,VIB Sports,2.2,,0,0,,5.0,,,5.0
2022-03-27,2022,african-championships,gc,Tunisia,CC,,,1,,0.0,,,1.0
2022-03-24,2022,african-continental-championships-itt,gc,Tunisia,CC,,,1,,0.0,,,0.0
2022-12-23,2022,arab-road-cycling-championships-road-race,gc,Tunisia,JR,,,1,,0.0,,,0.0
2022-06-30,2022,mediterranean-games-itt,gc,Tunisia,JR,,,1,,0.0,,,0.0
2022-07-02,2022,mersin-mediterranean-games,gc,Tunisia,JR,,,1,,0.0,,,0.0
2022-01-28,2022,tour-of-sharjah,gc,Yasi Cycling Team,2.2,71.0,0.0,1,,0.0,,,0.0
2023-08-01,2023,100th-anniversary-tour-of-the-republic,gc,Iraq Cycling Project,2.2,,0,0,,0.0,,,0.0
2023-12-20,2023,arab-road-cycling-championships-me-itt,gc,Tunisia,JR,,0,0,,0.0,,,0.0
2023-12-22,2023,arab-road-cycling-championships-road-race,gc,Tunisia,JR,,0,0,,0.0,,,0.0
2023-07-11,2023,arab-sports-games-me-itt,gc,Tunisia,JR,,,1,,0.0,,,0.0
2023-07-14,2023,arab-sports-games-me-road-race,gc,Tunisia,JR,,,1,,0.0,,,0.0
2023-03-17,2023,gp-de-la-ville-d-alger,gc,Tunisia,1.2,,0,0,,0.0,,,0.0
2023-09-08,2023,grand-prix-boukraa,gc,Iraq Cycling Project,1.2,,0,0,,0.0,,,0.0
2023-05-28,2023,grand-prix-de-la-famille-royal,gc,Iraq Cycling Project,1.2,,,1,,0.0,,,0.0
2023-05-26,2023,grand-prix-de-prince-heritier-moulay-el-hassan,gc,Iraq Cycling Project,1.2,,,1,,0.0,,,0.0
2023-05-27,2023,grand-prix-du-trone,gc,Iraq Cycling Project,1.2,,,1,,0.0,,,0.0
2023-09-10,2023,grand-prix-el-marsa,gc,Iraq Cycling Project,1.2,,0,0,,0.0,,,0.0
2023-09-09,2023,grand-prix-es-semara,gc,Iraq Cycling Project,1.2,,0,0,,0.0,,,3.0
2023-08-27,2023,international-azerbaijan-tour,gc,Iraq Cycling Project,2.1,,0,0,,3.0,,,3.0
2023-06-10,2023,kirikkale-road-race,gc,Iraq Cycling Project,2.2,,0,0,,0.0,,,0.0
2023-07-03,2023,nc-iran,gc,Iraq Cycling Project,NC,,0,0,,0.0,,,1.0
2023-07-01,2023,nc-iran-itt,gc,Iraq Cycling Project,NC,,0,0,,0.0,,,5.0
2023-10-01,2023,nc-tunisia,gc,Iraq Cycling Project,NC,,0,0,,0.0,,,50.0
2023-09-24,2023,nc-tunisia-itt,gc,Iraq Cycling Project,NC,,0,0,,0.0,,,15.0
2023-03-07,2023,tour-d-algerie-cycliste,gc,Tunisia,2.2,,0,0,,0.0,,,0.0
2023-02-01,2023,tour-du-sahel,gc,Tunisia,2.2,,0,0,,3.0,,,3.0
2023-08-26,2023,tour-of-kandovan,gc,Iraq Cycling Project,1.2,,0,0,,0.0,,,0.0
2023-01-27,2023,tour-of-sharjah,gc,Yasi Cycling Team,2.2,106.0,0.0,1,,0.0,,,0.0
