date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-04-29,2017,banja-luka-belgrade-i,gc,Team Vorarlberg,1.2,,0,0,,0.0,,,0.0
2017-04-30,2017,beograd-banja-luka-ii,gc,Team Vorarlberg,1.2,,0,0,,0.0,,,3.0
2017-05-20,2017,berner-rundfahrt-tour-de-berne,gc,Team Vorarlberg,1.2,,,1,,0.0,,,30.0
2017-06-01,2017,boucles-de-la-mayenne,gc,Team Vorarlberg,2.1,,0,0,,15.0,,,15.0
2017-09-13,2017,coppa-agostoni,gc,Switzerland,1.1,,,1,,0.0,,,128.0
2017-09-14,2017,coppa-bernocchi,gc,Switzerland,1.1,,,1,,0.0,,,63.0
2017-05-24,2017,fleche-du-sud,gc,Team Vorarlberg,2.2,7.0,5.0,1,,5.0,,,6.0
2017-05-24,2017,fleche-du-sud,gc,Switzerland,2.2,,0,0,,0.0,,,0.0
2017-04-09,2017,giro-dell-appennino,gc,Team Vorarlberg,1.1,,,1,,0.0,,,0.0
2017-02-05,2017,gp-costa-degli-etruschi,gc,Team Vorarlberg,1.1,,,1,,0.0,,,15.0
2017-06-08,2017,gp-du-canton-d-argovie,gc,Team Vorarlberg,1.HC,,,1,,0.0,,,30.0
2017-06-08,2017,gp-du-canton-d-argovie,gc,Switzerland,1.HC,,0,0,,0.0,,,8.0
2017-02-26,2017,gp-izola-butan-plin,gc,Team Vorarlberg,1.2,,0,0,,0.0,,,0.0
2017-02-19,2017,gp-laguna,gc,Team Vorarlberg,1.2,,0,0,,0.0,,,0.0
2017-05-07,2017,gp-lugano,gc,Team Vorarlberg,1.HC,,,1,,0.0,,,41.0
2017-05-07,2017,gp-lugano,gc,Switzerland,1.HC,,0,0,,0.0,,,9.0
2017-09-10,2017,int-raiffeisen-gp-judendorf-strassengel,gc,Team Vorarlberg,1.2,,0,0,,0.0,,,0.0
2017-03-09,2017,istrian-spring-tour,gc,Switzerland,2.2,,0,0,,25.0,,,32.0
2017-04-02,2017,la-roue-tourangelle,gc,Team Vorarlberg,1.1,,,1,,0.0,,,3.0
2017-06-23,2017,nc-austria-itt,gc,Team Vorarlberg,NC,,0,0,,0.0,,,1.0
2017-06-25,2017,nc-austria2,gc,Team Vorarlberg,NC,,0,0,,0.0,,,5.0
2017-06-25,2017,nc-germany,gc,Team Vorarlberg,NC,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-hungary,gc,Team Vorarlberg,NC,,0,0,,0.0,,,25.0
2017-06-23,2017,nc-hungary-itt,gc,Team Vorarlberg,NC,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-netherlands,gc,Team Vorarlberg,NC,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-switserland,gc,Team Vorarlberg,NC,,,1,,0.0,,,30.0
2017-06-22,2017,nc-switzerland-itt,gc,Team Vorarlberg,NC,,0,0,,0.0,,,20.0
2017-06-08,2017,oberosterreichrundfahrt,gc,Team Vorarlberg,2.2,,0,0,,5.0,,,5.0
2017-08-31,2017,okolo-jiznich-cech,gc,Team Vorarlberg,2.2,,,1,,0.0,,,7.0
2017-08-31,2017,okolo-jiznich-cech,gc,Switzerland,2.2,,0,0,,0.0,,,1.0
2017-05-19,2017,paris-arras-tour,gc,Team Vorarlberg,2.2,,0,0,,0.0,,,0.0
2017-10-05,2017,paris-bourges,gc,Team Vorarlberg,1.1,,,1,,0.0,,,3.0
2017-03-12,2017,paris-troyes,gc,Team Vorarlberg,1.2,,0,0,,0.0,,,0.0
2017-03-04,2017,porec-trophy,gc,Team Vorarlberg,1.2,,0,0,,0.0,,,3.0
2017-08-25,2017,pro-otztaler-5500,gc,Team Vorarlberg,1.1,,,1,,0.0,,,13.0
2017-07-30,2017,rad-am-ring,gc,Team Vorarlberg,1.1,,,1,,0.0,,,23.0
2017-03-05,2017,rhodes-gp,gc,Team Vorarlberg,1.2,,,1,,0.0,,,3.0
2017-05-03,2017,rhone-alpes-isere-tour,gc,Team Vorarlberg,2.2,,0,0,,0.0,,,0.0
2017-03-31,2017,route-adelie-de-vitre,gc,Team Vorarlberg,1.1,,,1,,0.0,,,15.0
2017-06-11,2017,rund-um-koln,gc,Switzerland,1.1,,0,0,,0.0,,,6.0
2017-06-11,2017,rund-um-koln,gc,Team Vorarlberg,1.1,,0,0,,0.0,,,100.0
2017-07-26,2017,tour-alsace,gc,Switzerland,2.2,,0,0,,0.0,,,0.0
2017-10-01,2017,tour-de-vendee,gc,Team Vorarlberg,1.1,,,1,,0.0,,,73.0
2017-06-15,2017,tour-des-pays-de-savoie,gc,Team Vorarlberg,2.2,17.0,0.0,1,,5.0,,,6.0
2017-09-10,2017,tour-du-doubs,gc,Team Vorarlberg,1.1,,,1,,0.0,,,0.0
