date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-05-06,2017,hadeland-gp,gc,China Continental Team of Gansu Bank,1.2,,0,0,,0.0,,,0.0
2017-11-08,2017,tour-of-fuzhou,gc,China Continental Team of Gansu Bank,2.1,,0,0,,0.0,,,0.0
2017-07-16,2017,tour-of-magnificent-qinghai,gc,China Continental Team of Gansu Bank,2.HC,69.0,0.0,1,,3.0,,,8.0
2017-12-02,2017,tour-of-quanzhou-bay,gc,China Continental Team of Gansu Bank,2.2,,0,0,,0.0,,,0.0
2018-09-26,2018,banyuwangi-tour-de-ijen,gc,Ningxia Sports Lottery - Livall Cycling team,2.2,,,1,,0.0,,,3.0
2018-05-21,2018,le-tour-de-filipinas,gc,Ningxia Sports Lottery - Livall Cycling team,2.2,,0,0,,0.0,,,0.0
2018-06-27,2018,mersin-mediterranean-games,gc,Greece,JR,,,1,,0.0,,,0.0
2018-02-04,2018,nc-colombia,gc,Ningxia Sports Lottery - Livall Cycling team,NC,,0,0,,0.0,,,0.0
2018-06-25,2018,nc-mongolia,gc,Ningxia Sports Lottery - Livall Cycling team,NC,,0,0,,0.0,,,55.0
2018-06-22,2018,nc-mongolia-itt,gc,Ningxia Sports Lottery - Livall Cycling team,NC,,0,0,,0.0,,,20.0
2018-09-29,2018,tour-of-almaty,gc,Ningxia Sports Lottery - Livall Cycling team,2.1,,0,0,,5.0,,,5.0
2018-09-08,2018,tour-of-china,gc,Ningxia Sports Lottery - Livall Cycling team,2.1,,0,0,,10.0,,,10.0
2018-09-17,2018,tour-of-china-ii,gc,Ningxia Sports Lottery - Livall Cycling team,2.1,,0,0,,0.0,,,0.0
2018-10-23,2018,tour-of-hainan,gc,Ningxia Sports Lottery - Livall Cycling team,2.HC,59.0,0.0,1,,8.0,,,8.0
2018-07-22,2018,tour-of-magnificent-qinghai,gc,Ningxia Sports Lottery - Livall Cycling team,2.HC,79.0,0.0,1,,70.0,,,100.0
2018-11-09,2018,tour-of-quanzhou-bay,gc,Ningxia Sports Lottery - Livall Cycling team,2.2,,0,0,,0.0,,,0.0
2018-11-04,2018,tour-of-singkarak,gc,Ningxia Sports Lottery - Livall Cycling team,2.2,,0,0,,15.0,,,32.0
2018-10-07,2018,tour-of-taihu-lake,gc,Ningxia Sports Lottery - Livall Cycling team,2.1,45.0,0.0,1,,0.0,,,5.0
2018-09-03,2018,tour-of-xingtai,gc,Ningxia Sports Lottery - Livall Cycling team,2.2,,0,0,,15.0,,,15.0
2018-08-12,2018,uec-road-european-championships-me,gc,Greece,CC,,0,0,,0.0,,,0.0
2018-01-12,2018,vuelta-al-tachira,gc,Ningxia Sports Lottery - Livall Cycling team,2.2,,0,0,,0.0,,,0.0
2018-09-30,2018,world-championship,gc,Greece,WC,,0,0,,0.0,,,0.0
2019-06-23,2019,european-games,gc,Greece,JC,,,1,,0.0,,,13.0
2019-03-10,2019,grand-prix-justiniano-hotels,gc,Ningxia Sports Lottery - Livall Cycling Team,1.2,,0,0,,0.0,,,0.0
2019-05-12,2019,grand-prix-minsk,gc,Ningxia Sports Lottery - Livall Cycling Team,1.2,,,1,,0.0,,,25.0
2019-03-09,2019,grand-prix-velo-alanya,gc,Ningxia Sports Lottery - Livall Cycling Team,1.2,,0,0,,0.0,,,0.0
2019-05-11,2019,minsk-cup,gc,Ningxia Sports Lottery - Livall Cycling Team,1.2,,,1,,0.0,,,10.0
2019-06-16,2019,nc-belarus,gc,Ningxia Sports Lottery - Livall Cycling Team,NC,,0,0,,0.0,,,0.0
2019-06-14,2019,nc-belarus-itt,gc,Ningxia Sports Lottery - Livall Cycling Team,NC,,0,0,,0.0,,,0.0
2019-08-23,2019,nc-china-itt,gc,Ningxia Sports Lottery - Livall Cycling Team,NC,,0,0,,0.0,,,10.0
